id_gta_origem_outro_estado,dt_emissao_gta,id_produtor_origem,id_produtor_destino,id_tipo_finalidade_gta,municipio_origem,estado_origem,municipio_destino,estado_destino,qt_animais,distancia_km,data_seconds,repeticao_origem,flag_binaria,qt_animais_norm,data_seconds_norm,distancia_km_norm,cluster,tsne-3d-1,tsne-3d-2,tsne-3d-3
63,2012-04-17,822,302334,2,BARRA DO GARÇAS,MT,GUARDA-MOR,MG,21,809.0,1334620800,0,0,0.20202020202020202,0.03174603174603163,0.9579288025889969,0,-0.5402184,-16.814644,-33.545147
63,2012-04-17,822,302334,2,BARRA DO GARÇAS,MT,GUARDA-MOR,MG,42,809.0,1334620800,1,1,0.41414141414141414,0.03174603174603163,0.9579288025889969,0,31.843779,-24.908953,-23.368069
75,2012-04-12,822,302334,2,BARRA DO GARÇAS,MT,GUARDA-MOR,MG,25,809.0,1334188800,1,1,0.24242424242424243,0.011904761904759198,0.9579288025889969,0,1.5903754,-26.096176,-38.549618
75,2012-04-12,822,302334,2,BARRA DO GARÇAS,MT,GUARDA-MOR,MG,30,809.0,1334188800,1,1,0.29292929292929293,0.011904761904759198,0.9579288025889969,0,18.003979,-29.54482,-34.432896
79,2012-04-12,822,302334,2,JUSSARA,GO,GUARDA-MOR,MG,65,652.0,1334188800,1,1,0.6464646464646465,0.011904761904759198,0.44983818770226547,0,25.599194,-27.298044,25.048552
80,2012-04-12,822,302334,2,JUSSARA,GO,GUARDA-MOR,MG,65,652.0,1334188800,1,1,0.6464646464646465,0.011904761904759198,0.44983818770226547,0,25.599194,-27.298044,25.048552
99,2012-04-12,822,302334,2,JUSSARA,GO,GUARDA-MOR,MG,65,652.0,1334188800,1,1,0.6464646464646465,0.011904761904759198,0.44983818770226547,0,25.599194,-27.298044,25.048552
112,2012-04-17,822,302334,2,BRITÂNIA,GO,GUARDA-MOR,MG,65,752.0,1334620800,1,1,0.6464646464646465,0.03174603174603163,0.7734627831715208,0,-3.3249717,10.079306,40.613235
113,2012-04-17,822,302334,2,BRITÂNIA,GO,GUARDA-MOR,MG,65,752.0,1334620800,1,1,0.6464646464646465,0.03174603174603163,0.7734627831715208,0,-9.741476,19.44749,52.122566
118,2012-04-09,822,302334,2,JUSSARA,GO,GUARDA-MOR,MG,65,652.0,1333929600,1,1,0.6464646464646465,0.0,0.44983818770226547,0,33.242596,-20.16836,24.430803
119,2012-04-09,822,302334,2,JUSSARA,GO,GUARDA-MOR,MG,65,652.0,1333929600,1,1,0.6464646464646465,0.0,0.44983818770226547,0,33.242596,-20.16836,24.430803
124,2012-04-09,822,302334,2,BARRA DO GARÇAS,MT,GUARDA-MOR,MG,28,809.0,1333929600,1,1,0.27272727272727276,0.0,0.9579288025889969,0,7.336163,-32.621296,-31.319227
124,2012-04-09,822,302334,2,BARRA DO GARÇAS,MT,GUARDA-MOR,MG,28,809.0,1333929600,1,1,0.27272727272727276,0.0,0.9579288025889969,0,7.336163,-32.621296,-31.319227
366,2012-04-10,822,302334,2,JUSSARA,GO,GUARDA-MOR,MG,37,652.0,1334016000,1,1,0.36363636363636365,0.003968253968253066,0.44983818770226547,0,33.126617,-34.750687,3.792222
367,2012-04-10,822,302334,2,JUSSARA,GO,GUARDA-MOR,MG,65,652.0,1334016000,1,1,0.6464646464646465,0.003968253968253066,0.44983818770226547,0,33.94003,-28.962326,18.796299
390,2012-04-10,822,302334,2,JUSSARA,GO,GUARDA-MOR,MG,65,652.0,1334016000,1,1,0.6464646464646465,0.003968253968253066,0.44983818770226547,0,33.94003,-28.962326,18.796299
398,2012-04-10,822,302334,2,JUSSARA,GO,GUARDA-MOR,MG,65,652.0,1334016000,1,1,0.6464646464646465,0.003968253968253066,0.44983818770226547,0,33.94003,-28.962326,18.796299
400,2012-04-10,822,302334,2,JUSSARA,GO,GUARDA-MOR,MG,65,652.0,1334016000,1,1,0.6464646464646465,0.003968253968253066,0.44983818770226547,0,33.94003,-28.962326,18.796299
418,2012-04-11,822,302334,2,BARRA DO GARÇAS,MT,GUARDA-MOR,MG,29,809.0,1334102400,1,1,0.2828282828282828,0.007936507936506132,0.9579288025889969,0,7.058819,-32.34588,-20.875582
418,2012-04-11,822,302334,2,BARRA DO GARÇAS,MT,GUARDA-MOR,MG,30,809.0,1334102400,1,1,0.29292929292929293,0.007936507936506132,0.9579288025889969,0,16.606127,-32.58648,-25.176435
418,2012-04-11,822,302334,2,BARRA DO GARÇAS,MT,GUARDA-MOR,MG,1,809.0,1334102400,1,1,0.0,0.007936507936506132,0.9579288025889969,0,1.624338,-12.384471,-45.343616
562,2012-04-19,822,302334,2,BARRA DO GARÇAS,MT,GUARDA-MOR,MG,1,809.0,1334793600,1,1,0.0,0.039682539682537765,0.9579288025889969,0,6.2264357,-7.9057918,-50.098583
562,2012-04-19,822,302334,2,BARRA DO GARÇAS,MT,GUARDA-MOR,MG,59,809.0,1334793600,1,1,0.585858585858586,0.039682539682537765,0.9579288025889969,0,49.488926,-16.019974,-11.235981
563,2012-04-19,822,302334,2,BARRA DO GARÇAS,MT,GUARDA-MOR,MG,60,809.0,1334793600,1,1,0.595959595959596,0.039682539682537765,0.9579288025889969,0,50.903774,-13.706732,-3.3061204
