id_gta_origem_outro_estado,dt_emissao_gta,id_produtor_origem,id_produtor_destino,id_tipo_finalidade_gta,municipio_origem,estado_origem,municipio_destino,estado_destino,qt_animais,distancia_km,data_seconds,repeticao_origem,flag_binaria,qt_animais_norm,data_seconds_norm,distancia_km_norm,cluster,tsne-3d-1,tsne-3d-2,tsne-3d-3
46305,2016-06-27,10631,17339,2,PORTO NACIONAL,TO,ITAPAGIPE,MG,66,1.207,1466985600,0,0,0.9411764705882353,0.0,0.00023706663136740516,0,-12.73286,-58.109653,-27.109554
46307,2016-06-27,10631,17339,2,PORTO NACIONAL,TO,ITAPAGIPE,MG,66,1.207,1466985600,1,1,0.9411764705882353,0.0,0.00023706663136740516,0,-12.73286,-58.109653,-27.109554
46309,2016-06-27,10631,17339,2,PORTO NACIONAL,TO,ITAPAGIPE,MG,67,1.207,1466985600,1,1,0.9558823529411764,0.0,0.00023706663136740516,0,-30.860983,-22.337622,-27.977707
46318,2016-06-27,10631,17339,2,PORTO NACIONAL,TO,ITAPAGIPE,MG,67,1.207,1466985600,1,1,0.9558823529411764,0.0,0.00023706663136740516,0,-30.860983,-22.337622,-27.977707
135736,2021-05-18,20101,17339,2,PONTALINA,GO,FRUTAL,MG,50,340.0,1621296000,0,0,0.7058823529411764,0.8767795778105061,0.4079351135392725,1,-2.8507216,41.581234,44.60946
135736,2021-05-18,20101,17339,2,PONTALINA,GO,FRUTAL,MG,10,340.0,1621296000,1,1,0.11764705882352941,0.8767795778105061,0.4079351135392725,1,6.4672785,-76.11267,54.69408
132217,2021-05-04,16521,17339,2,GOIATUBA,GO,FRUTAL,MG,50,264.0,1620086400,0,0,0.7058823529411764,0.8699067255768291,0.31647793595590806,1,3.1450624,34.649876,12.499227
135734,2021-05-19,16520,17339,2,MORRINHOS,GO,FRUTAL,MG,60,296.0,1621382400,0,0,0.8529411764705882,0.8772704958271973,0.35498622125416673,1,32.703354,37.228302,-10.468979
46308,2016-06-27,10631,17339,2,PORTO NACIONAL,TO,ITAPAGIPE,MG,66,1.207,1466985600,1,1,0.9411764705882353,0.0,0.00023706663136740516,0,-12.73286,-58.109653,-27.109554
46316,2016-06-27,10631,17339,2,PORTO NACIONAL,TO,ITAPAGIPE,MG,67,1.207,1466985600,1,1,0.9558823529411764,0.0,0.00023706663136740516,0,-30.860983,-22.337622,-27.977707
46317,2016-06-27,10631,17339,2,PORTO NACIONAL,TO,ITAPAGIPE,MG,67,1.207,1466985600,1,1,0.9558823529411764,0.0,0.00023706663136740516,0,-30.860983,-22.337622,-27.977707
132159,2021-05-12,16521,17339,2,AMORINÓPOLIS,GO,FRUTAL,MG,55,565.0,1620777600,1,1,0.7794117647058824,0.8738340697103588,0.6786964945426539,1,47.929447,61.58348,-40.55373
132218,2021-05-05,12036,17339,2,MORRINHOS,GO,FRUTAL,MG,35,296.0,1620172800,0,0,0.48529411764705876,0.8703976435935203,0.35498622125416673,1,21.87745,4.825254,37.5881
135735,2021-05-18,20101,17339,2,PONTALINA,GO,FRUTAL,MG,58,340.0,1621296000,1,1,0.8235294117647058,0.8767795778105061,0.4079351135392725,1,-49.695488,51.186768,2.2601597
135737,2021-05-05,12036,17339,2,MORRINHOS,GO,FRUTAL,MG,35,296.0,1620172800,1,1,0.48529411764705876,0.8703976435935203,0.35498622125416673,1,21.87745,4.825254,37.5881
136847,2021-05-24,18314,17339,2,PARANAIGUARA,GO,FRUTAL,MG,33,279.0,1621814400,0,0,0.45588235294117646,0.8797250859106533,0.33452869468946683,1,-3.3765025,-33.066563,54.50439
136849,2021-05-25,20220,17339,2,CORUMBAÍBA,GO,FRUTAL,MG,60,304.0,1621900800,0,0,0.8529411764705882,0.8802160039273446,0.36461329257873143,1,-18.087202,71.98828,50.314213
136861,2021-05-26,12036,17339,2,MORRINHOS,GO,FRUTAL,MG,35,296.0,1621987200,1,1,0.48529411764705876,0.8807069219440358,0.35498622125416673,1,49.316864,-13.999866,32.93332
136852,2021-05-25,20221,17339,2,CORUMBAÍBA,GO,FRUTAL,MG,32,304.0,1621900800,0,0,0.4411764705882353,0.8802160039273446,0.36461329257873143,1,25.33592,-21.071016,54.371864
136860,2021-05-04,16521,17339,2,GOIATUBA,GO,FRUTAL,MG,50,264.0,1620086400,1,1,0.7058823529411764,0.8699067255768291,0.31647793595590806,1,3.1450624,34.649876,12.499227
136862,2021-05-26,20223,17339,2,CORUMBAÍBA,GO,FRUTAL,MG,35,304.0,1621987200,0,0,0.48529411764705876,0.8807069219440358,0.36461329257873143,1,30.418627,-11.472568,9.6762705
176038,2022-01-10,16861,17339,2,MINEIROS,GO,FRUTAL,MG,57,556.0,1641772800,0,0,0.8088235294117647,0.993127147766323,0.6678660393025186,1,-6.592466,19.75234,-110.022194
178913,2022-01-16,19208,17339,2,PIRACANJUBA,GO,FRUTAL,MG,55,351.0,1642291200,0,0,0.7794117647058824,0.9960726558664703,0.4211723366105489,1,3.2050223,13.753215,-19.382969
178930,2022-01-10,24777,17339,2,AQUIDAUANA,MS,FRUTAL,MG,55,801.0,1641772800,0,0,0.7794117647058824,0.993127147766323,0.9626950986173118,1,-5.2552905,41.38959,-74.42855
179748,2022-01-24,18900,17339,2,SONORA,MS,FRUTAL,MG,55,832.0,1642982400,0,0,0.7794117647058824,1.0,1.0,1,25.607937,19.93277,-80.45222
139650,2021-06-14,20563,17339,2,QUIRINÓPOLIS,GO,FRUTAL,MG,26,344.0,1623628800,0,0,0.3529411764705882,0.8900343642611688,0.4127486492015548,1,54.816742,-32.95575,59.81155
139650,2021-06-14,20563,17339,2,QUIRINÓPOLIS,GO,FRUTAL,MG,30,344.0,1623628800,1,1,0.4117647058823529,0.8900343642611688,0.4127486492015548,1,49.20328,-34.786076,-23.3532
140045,2021-06-11,20566,17339,2,SERRANÓPOLIS,GO,FRUTAL,MG,20,464.0,1623369600,0,0,0.2647058823529412,0.8885616102110951,0.5571547190700249,1,63.82513,-44.395794,8.839937
136848,2021-05-24,18315,17339,2,QUIRINÓPOLIS,GO,FRUTAL,MG,33,344.0,1621814400,0,0,0.45588235294117646,0.8797250859106533,0.4127486492015548,1,5.8364215,-21.119564,26.496532
136853,2021-05-04,16521,17339,2,GOIATUBA,GO,FRUTAL,MG,50,264.0,1620086400,1,1,0.7058823529411764,0.8699067255768291,0.31647793595590806,1,3.1450624,34.649876,12.499227
176093,2022-01-11,18315,17339,2,PARANAIGUARA,GO,FRUTAL,MG,60,279.0,1641859200,1,1,0.8529411764705882,0.9936180657830143,0.33452869468946683,1,5.9165206,94.50331,3.2656205
176321,2022-01-12,19627,17339,2,MORRINHOS,GO,FRUTAL,MG,47,296.0,1641945600,0,0,0.6617647058823529,0.9941089837997055,0.35498622125416673,1,30.574717,54.636845,26.34542
177087,2022-01-17,23631,17339,2,DOIS IRMÃOS DO BURITI,MS,FRUTAL,MG,55,775.0,1642377600,0,0,0.7794117647058824,0.9965635738831615,0.9314071168124767,1,21.039324,64.76155,-69.82693
178785,2022-01-24,20220,17339,2,CORUMBAÍBA,GO,FRUTAL,MG,60,304.0,1642982400,1,1,0.8529411764705882,1.0,0.36461329257873143,1,12.732314,87.05043,37.503986
178932,2022-01-10,24777,17339,2,AQUIDAUANA,MS,FRUTAL,MG,55,801.0,1641772800,1,1,0.7794117647058824,0.993127147766323,0.9626950986173118,1,-5.2552905,41.38959,-74.42855
179319,2022-01-18,20221,17339,2,CORUMBAÍBA,GO,FRUTAL,MG,60,304.0,1642464000,1,1,0.8529411764705882,0.9970544918998527,0.36461329257873143,1,-45.004845,79.54153,34.224785
179620,2022-01-21,20221,17339,2,CORUMBAÍBA,GO,FRUTAL,MG,35,304.0,1642723200,1,1,0.48529411764705876,0.9985272459499264,0.36461329257873143,1,0.16698058,2.7014024,63.91788
179621,2022-01-21,20221,17339,2,CORUMBAÍBA,GO,FRUTAL,MG,35,304.0,1642723200,1,1,0.48529411764705876,0.9985272459499264,0.36461329257873143,1,0.16698058,2.7014024,63.91788
176098,2022-01-11,23600,17339,2,QUIRINÓPOLIS,GO,FRUTAL,MG,50,344.0,1641859200,0,0,0.7058823529411764,0.9936180657830143,0.4127486492015548,1,-33.837765,35.818855,-27.766197
176101,2022-01-11,23600,17339,2,QUIRINÓPOLIS,GO,FRUTAL,MG,30,344.0,1641859200,1,1,0.4117647058823529,0.9936180657830143,0.4127486492015548,1,1.8330996,-22.975533,86.00944
176298,2022-01-12,23631,17339,2,DOIS IRMÃOS DO BURITI,MS,FRUTAL,MG,55,775.0,1641945600,1,1,0.7794117647058824,0.9941089837997055,0.9314071168124767,1,19.871897,47.510098,-100.13836
176905,2022-01-04,23060,17339,8,PANAMÁ,GO,FRUTAL,MG,55,245.0,1641254400,0,0,0.7794117647058824,0.9901816396661758,0.2936136415600669,1,-4.85945,68.356064,20.224915
177003,2022-01-12,23631,17339,2,DOIS IRMÃOS DO BURITI,MS,FRUTAL,MG,55,775.0,1641945600,1,1,0.7794117647058824,0.9941089837997055,0.9314071168124767,1,19.871897,47.510098,-100.13836
177203,2022-01-17,23631,17339,2,DOIS IRMÃOS DO BURITI,MS,FRUTAL,MG,55,775.0,1642377600,1,1,0.7794117647058824,0.9965635738831615,0.9314071168124767,1,21.039324,64.76155,-69.82693
177204,2022-01-17,23631,17339,2,DOIS IRMÃOS DO BURITI,MS,FRUTAL,MG,55,775.0,1642377600,1,1,0.7794117647058824,0.9965635738831615,0.9314071168124767,1,21.039324,64.76155,-69.82693
138266,2021-06-07,18451,17339,2,CORUMBAÍBA,GO,FRUTAL,MG,53,304.0,1623024000,0,0,0.75,0.8865979381443303,0.36461329257873143,1,-26.285332,24.544125,3.3631523
178915,2022-01-18,18451,17339,2,CORUMBAÍBA,GO,FRUTAL,MG,31,304.0,1642464000,1,1,0.4264705882352941,0.9970544918998527,0.36461329257873143,1,27.843018,-4.0052547,82.87153
178915,2022-01-18,18451,17339,2,CORUMBAÍBA,GO,FRUTAL,MG,5,304.0,1642464000,1,1,0.04411764705882353,0.9970544918998527,0.36461329257873143,1,55.436802,-99.10045,41.60354
178916,2022-01-19,20220,17339,2,CORUMBAÍBA,GO,FRUTAL,MG,60,304.0,1642550400,1,1,0.8529411764705882,0.997545409916544,0.36461329257873143,1,-29.482548,88.87523,5.834981
178921,2022-01-19,20220,17339,2,CORUMBAÍBA,GO,FRUTAL,MG,60,304.0,1642550400,1,1,0.8529411764705882,0.997545409916544,0.36461329257873143,1,-29.482548,88.87523,5.834981
178928,2022-01-10,24777,17339,2,AQUIDAUANA,MS,FRUTAL,MG,19,801.0,1641772800,1,1,0.25,0.993127147766323,0.9626950986173118,1,92.75862,-5.201906,19.63565
178928,2022-01-10,24777,17339,2,AQUIDAUANA,MS,FRUTAL,MG,36,801.0,1641772800,1,1,0.5,0.993127147766323,0.9626950986173118,1,-4.512479,5.215062,-72.92245
178929,2022-01-10,24777,17339,2,AQUIDAUANA,MS,FRUTAL,MG,55,801.0,1641772800,1,1,0.7794117647058824,0.993127147766323,0.9626950986173118,1,-5.2552905,41.38959,-74.42855
179747,2022-01-24,18900,17339,2,SONORA,MS,FRUTAL,MG,55,832.0,1642982400,1,1,0.7794117647058824,1.0,1.0,1,25.607937,19.93277,-80.45222
139649,2021-06-16,12025,17339,2,NOVA AURORA,GO,FRUTAL,MG,35,316.0,1623801600,0,0,0.48529411764705876,0.8910162002945512,0.37905389956557844,1,47.71622,5.34951,59.76767
139654,2021-06-16,20565,17339,2,ALOÂNDIA,GO,FRUTAL,MG,35,309.0,1623801600,0,0,0.48529411764705876,0.8910162002945512,0.37063021215658437,1,50.795673,16.3434,28.900883
139942,2021-06-25,20600,17339,2,NOVA AURORA,GO,FRUTAL,MG,60,316.0,1624579200,0,0,0.8529411764705882,0.8954344624447721,0.37905389956557844,1,-22.461803,59.53808,-3.9430733
142122,2021-06-28,16521,17339,2,GOIATUBA,GO,FRUTAL,MG,55,264.0,1624838400,1,1,0.7794117647058824,0.8969072164948457,0.31647793595590806,1,-3.458716,43.224483,-19.443266
142426,2021-07-12,16521,17339,2,GOIATUBA,GO,FRUTAL,MG,35,264.0,1626048000,1,1,0.48529411764705876,0.9037800687285227,0.31647793595590806,1,-21.161324,-8.328005,41.68851
52520,2016-10-06,11469,17339,2,PARANÃ,TO,FRUTAL,MG,65,1.01,1475712000,0,0,0.926470588235294,0.04958271968581229,0.0,0,-30.619537,-81.54952,-44.63715
52524,2016-10-06,11469,17339,2,PARANÃ,TO,FRUTAL,MG,65,1.01,1475712000,1,1,0.926470588235294,0.04958271968581229,0.0,0,-32.39208,-45.53231,1.5984082
52527,2016-09-21,9832,17339,2,ARAME,MA,FRUTAL,MG,65,1.986,1474416000,0,0,0.926470588235294,0.04221894943544413,0.0011745027015968904,0,-54.67056,-59.249275,-43.532955
52219,2016-09-28,11441,17339,2,BOM JESUS DO TOCANTINS,TO,FRUTAL,MG,60,1.396,1475020800,0,0,0.8529411764705882,0.04565537555228261,0.00046450619141024546,0,-64.180565,-39.58537,-19.203005
52518,2016-10-06,11469,17339,2,PARANÃ,TO,FRUTAL,MG,65,1.01,1475712000,1,1,0.926470588235294,0.04958271968581229,0.0,0,-32.39208,-45.53231,1.5984082
52526,2016-10-06,11469,17339,2,PARANÃ,TO,FRUTAL,MG,65,1.01,1475712000,1,1,0.926470588235294,0.04958271968581229,0.0,0,-32.39208,-45.53231,1.5984082
143527,2021-07-28,20941,17339,2,CACHOEIRA ALTA,GO,FRUTAL,MG,5,313.0,1627430400,0,0,0.04411764705882353,0.911634756995582,0.3754437478188667,1,32.48867,-80.92855,30.137918
143527,2021-07-28,20941,17339,2,CACHOEIRA ALTA,GO,FRUTAL,MG,70,313.0,1627430400,1,1,0.9999999999999999,0.911634756995582,0.3754437478188667,1,-67.19756,78.12497,8.914918
148069,2021-08-17,18370,17339,2,RIOLÂNDIA,SP,FRUTAL,MG,10,124.0,1629158400,0,0,0.11764705882352941,0.9214531173294063,0.1480041877760262,1,23.033693,-89.3532,-4.9374037
