id_gta_origem_outro_estado,dt_emissao_gta,id_produtor_origem,id_produtor_destino,id_tipo_finalidade_gta,municipio_origem,estado_origem,municipio_destino,estado_destino,qt_animais,data_seconds,repeticao_origem,flag_binaria,qt_animais_norm,data_seconds_norm,cluster
29340,2015-05-14,7333,614218,8,1502707,PA,3170206,MG,17,1431561600,0,0,0.12000000000000001,0.26948775055679164,0
30417,2015-05-27,7333,614218,2,1502707,PA,3170206,MG,5,1432684800,1,1,0.0,0.29844097995545127,0
31026,2015-07-01,7333,614218,2,1502707,PA,3170206,MG,45,1435708800,1,1,0.4,0.37639198218262493,0
29337,2015-05-14,7333,614218,8,1502707,PA,3170206,MG,15,1431561600,1,1,0.09999999999999999,0.26948775055679164,0
29384,2015-05-18,7333,614218,2,1502707,PA,3170206,MG,85,1431907200,1,1,0.7999999999999999,0.2783964365256111,0
31701,2015-07-09,7333,614218,18,1506138,PA,3170206,MG,55,1436400000,1,1,0.5,0.3942093541202638,0
30416,2015-05-27,7333,614218,2,1502707,PA,3170206,MG,90,1432684800,1,1,0.85,0.29844097995545127,0
31029,2015-07-01,7333,614218,2,1502707,PA,3170206,MG,50,1435708800,1,1,0.45,0.37639198218262493,0
32331,2015-07-17,7333,614218,18,1506138,PA,3170206,MG,50,1437091200,1,1,0.45,0.4120267260579027,0
34695,2015-09-10,7333,614218,18,1502707,PA,3170206,MG,75,1441843200,1,1,0.7,0.5345211581291736,0
32332,2015-07-17,7333,614218,18,1506138,PA,3170206,MG,50,1437091200,1,1,0.45,0.4120267260579027,0
33630,2015-09-04,7333,614218,3,1506138,PA,3170206,MG,80,1441324800,1,1,0.75,0.5211581291759444,0
34696,2015-09-10,7333,614218,18,1502707,PA,3170206,MG,20,1441843200,1,1,0.15000000000000002,0.5345211581291736,0
36248,2015-11-20,9007,614218,2,1508084,PA,3170206,MG,5,1447977600,0,0,0.0,0.6926503340757222,0
36478,2015-11-26,7333,614218,2,1502707,PA,3170206,MG,51,1448496000,1,1,0.46,0.7060133630289513,0
36475,2015-12-02,7333,614218,2,1502707,PA,3170206,MG,51,1449014400,1,1,0.46,0.7193763919821805,0
36477,2015-11-26,7333,614218,2,1502707,PA,3170206,MG,51,1448496000,1,1,0.46,0.7060133630289513,0
36482,2015-12-02,7333,614218,2,1502707,PA,3170206,MG,90,1449014400,1,1,0.85,0.7193763919821805,0
37137,2015-12-29,9216,614218,2,1506583,PA,3170206,MG,51,1451347200,0,0,0.46,0.7795100222717153,0
37138,2015-12-29,9216,614218,2,1506583,PA,3170206,MG,51,1451347200,1,1,0.46,0.7795100222717153,0
37582,2016-01-21,9216,614218,2,1506583,PA,3103504,MG,51,1453334400,1,1,0.46,0.8307349665924235,0
37632,2015-01-28,9216,614218,18,1506583,PA,3103504,MG,75,1422403200,1,1,0.7,0.03340757238306935,0
37876,2016-02-05,9216,614218,18,1506583,PA,3103504,MG,20,1454630400,1,1,0.15000000000000002,0.8641425389755,0
36479,2015-12-02,7333,614218,2,1502707,PA,3170206,MG,52,1449014400,1,1,0.47000000000000003,0.7193763919821805,0
36480,2015-12-02,7333,614218,2,1502707,PA,3170206,MG,50,1449014400,1,1,0.45,0.7193763919821805,0
37139,2015-12-29,7333,614218,2,1502707,PA,3170206,MG,35,1451347200,1,1,0.30000000000000004,0.7795100222717153,0
37281,2016-01-13,9216,614218,2,1506583,PA,3103504,MG,95,1452643200,1,1,0.9,0.8129175946547846,0
