id_gta_origem_outro_estado,dt_emissao_gta,id_produtor_origem,id_produtor_destino,id_tipo_finalidade_gta,municipio_origem,estado_origem,municipio_destino,estado_destino,qt_animais,data_seconds,repeticao_origem,flag_binaria,qt_animais_norm,data_seconds_norm,cluster
44160,2016-05-27,10354,464348,2,1502707,PA,3169604,MG,40,1464307200,0,0,0.3913043478260869,0.36789297658862985,0
44165,2016-05-20,10355,464348,2,1502707,PA,3169604,MG,19,1463702400,0,0,0.16304347826086957,0.36204013377926536,0
45473,2016-06-16,9440,464348,2,1502707,PA,3169604,MG,17,1466035200,0,0,0.14130434782608695,0.384615384615385,0
44161,2016-05-27,10355,464348,2,1502707,PA,3169604,MG,17,1464307200,1,1,0.14130434782608695,0.36789297658862985,0
44163,2016-05-20,10357,464348,2,1502707,PA,3169604,MG,36,1463702400,0,0,0.34782608695652173,0.36204013377926536,0
44162,2016-05-27,10356,464348,2,1502707,PA,3169604,MG,33,1464307200,0,0,0.3152173913043478,0.36789297658862985,0
45871,2016-06-24,10555,464348,2,1502707,PA,3169604,MG,40,1466726400,0,0,0.3913043478260869,0.3913043478260878,0
45872,2016-06-24,10556,464348,2,1502707,PA,3169604,MG,38,1466726400,0,0,0.3695652173913043,0.3913043478260878,0
55262,2016-12-22,11742,464348,2,1717503,TO,3169604,MG,75,1482364800,0,0,0.7717391304347826,0.542642140468228,0
55261,2016-12-22,10244,464348,2,1716109,TO,3169604,MG,80,1482364800,0,0,0.8260869565217391,0.542642140468228,0
53983,2016-11-08,10244,464348,2,1716109,TO,3169604,MG,90,1478563200,1,1,0.9347826086956522,0.5058528428093645,0
59276,2017-03-31,10244,464348,2,1716109,TO,3169604,MG,12,1490918400,1,1,0.08695652173913043,0.6254180602006691,0
59276,2017-03-31,10244,464348,2,1716109,TO,3169604,MG,20,1490918400,1,1,0.17391304347826086,0.6254180602006691,0
59276,2017-03-31,10244,464348,2,1716109,TO,3169604,MG,38,1490918400,1,1,0.3695652173913043,0.6254180602006691,0
56736,2017-02-03,10244,464348,2,1716109,TO,3169604,MG,30,1486080000,1,1,0.28260869565217395,0.5785953177257532,0
56736,2017-02-03,10244,464348,2,1716109,TO,3169604,MG,55,1486080000,1,1,0.5543478260869565,0.5785953177257532,0
58162,2017-03-06,10244,464348,2,1716109,TO,3169604,MG,60,1488758400,1,1,0.6086956521739131,0.6045150501672243,0
58575,2017-03-17,10244,464348,2,1716109,TO,3169604,MG,22,1489708800,1,1,0.1956521739130435,0.6137123745819402,0
58575,2017-03-17,10244,464348,2,1716109,TO,3169604,MG,40,1489708800,1,1,0.3913043478260869,0.6137123745819402,0
61382,2017-05-05,12292,464348,2,1717909,TO,3169604,MG,10,1493942400,0,0,0.06521739130434782,0.6546822742474916,0
