id_gta;dt_emissao_gta;cod_produtor_origem;cod_produtor_destino;id_tipo_finalidade_gta;cod_municipio_origem;nome_municipio_origem;estado_origem;cod_municipio_destino;nome_municipio_destino;estado_destino;qtd;orig_lat;orig_lon;dest_lat;dest_lon;distancia_km;duracao_min;data_seconds;repeticao_origem;flag_binaria;qt_animais_norm;data_seconds_norm;distancia_km_norm;cluster;tsne-3d-1;tsne-3d-2;tsne-3d-3
17287497;2024-11-19 09:07:16.545;77918;230285;3;3152808;PRATA;MG;3152808;PRATA;MG;32;-19.3086;-48.9276;-19.3086;-48.9276;0.0;0.0;1732007236;0;0;0.49206349206349204;0.9686123224197614;0.0;0;-24.933798;0.3226632;-79.915665
9764983;2020-03-14 17:37:55.556;78000;230285;30;3152808;PRATA;MG;3152808;PRATA;MG;3;-19.3086;-48.9276;-19.3086;-48.9276;0.0;0.0;1584207475;0;0;0.031746031746031744;0.6080804208931356;0.0;0;-55.037586;-36.7967;16.81298
1105851;2013-06-12 10:45:37.982;77961;230285;2;3152808;PRATA;MG;3152808;PRATA;MG;9;-19.3086;-48.9276;-19.3086;-48.9276;0.0;0.0;1371033937;0;0;0.12698412698412698;0.08808052041766468;0.0;0;54.33445;-22.016655;58.461697
2062770;2014-04-29 15:43:48.818;73735;230285;2;3134202;ITUIUTABA;MG;3152808;PRATA;MG;20;-18.9772;-49.4639;-19.3086;-48.9276;101.1;99.0;1398786228;0;0;0.30158730158730157;0.15577742451448673;0.08305538668813564;0;72.32742;-47.624504;26.564308
6012196;2017-07-24 10:49:50.562;429532;230285;18;3134202;ITUIUTABA;MG;3152808;PRATA;MG;15;-18.9772;-49.4639;-19.3086;-48.9276;101.1;99.0;1500893390;0;0;0.2222222222222222;0.40485014984417944;0.08305538668813564;0;-89.8051;-52.875305;2.4204543
8197403;2019-03-09 20:30:55.699;77208;230285;30;3152808;PRATA;MG;3152808;PRATA;MG;2;-19.3086;-48.9276;-19.3086;-48.9276;0.0;0.0;1552163455;0;0;0.015873015873015872;0.5299145877078084;0.0;0;-64.22899;-34.716145;57.66374
7122025;2018-05-24 17:18:23.544;338807;230285;30;3152808;PRATA;MG;3152808;PRATA;MG;8;-19.3086;-48.9276;-19.3086;-48.9276;0.0;0.0;1527182303;0;0;0.1111111111111111;0.4689773969305806;0.0;0;-25.428137;-25.426397;1.9240453
6230195;2017-09-20 10:23:03.521;78780;230285;2;3129103;GURINHATÃ;MG;3152808;PRATA;MG;17;-19.2143;-49.7876;-19.3086;-48.9276;132.92;104.9;1505902983;0;0;0.25396825396825395;0.4170701837464299;0.10919606328968337;0;21.622608;14.342055;-1.9721489
250820;2012-07-18 13:33:08.913;77918;230285;2;3152808;PRATA;MG;3152808;PRATA;MG;1;-19.3086;-48.9276;-19.3086;-48.9276;0.0;0.0;1342618388;1;1;0.0;0.01876571338023636;0.0;0;100.75191;22.226036;68.681946
1371337;2013-09-03 09:28:36.552;74103;230285;2;3134202;ITUIUTABA;MG;3134202;ITUIUTABA;MG;8;-18.9772;-49.4639;-18.9772;-49.4639;0.0;0.0;1378200516;0;0;0.1111111111111111;0.10556214783593054;0.0;0;46.50933;38.306458;42.100796
700228;2013-01-25 09:10:42.458;263421;230285;2;3134202;ITUIUTABA;MG;3134202;ITUIUTABA;MG;33;-18.9772;-49.4639;-18.9772;-49.4639;0.0;0.0;1359105042;0;0;0.5079365079365079;0.05898204848264266;0.0;0;101.57056;-20.190256;-4.68328
6313059;2017-10-12 11:14:16.367;3181838;230285;18;3134202;ITUIUTABA;MG;3152808;PRATA;MG;10;-18.9772;-49.4639;-19.3086;-48.9276;101.1;99.0;1507806856;0;0;0.14285714285714285;0.42171435196639884;0.08305538668813564;0;14.303074;-50.261433;41.66895
18100058;2025-04-17 07:23:09.607;66992;230285;8;3171006;VAZANTE;MG;3152808;PRATA;MG;6;-17.9827;-46.9088;-19.3086;-48.9276;348.19;302.8;1744874589;0;0;0.07936507936507936;1.0;0.28604406618142386;0;-51.59354;-88.579445;-8.022368
5578;2012-04-20 12:39:46.985;77743;230285;2;3152808;PRATA;MG;3152808;PRATA;MG;16;-19.3086;-48.9276;-19.3086;-48.9276;0.0;0.0;1334925586;0;0;0.23809523809523808;4.5615409094423853e-07;0.0;0;82.73725;-43.456726;66.4125
8197372;2019-03-09 19:43:56.849;77208;230285;30;3152808;PRATA;MG;3152808;PRATA;MG;4;-19.3086;-48.9276;-19.3086;-48.9276;0.0;0.0;1552160636;1;1;0.047619047619047616;0.5299077112458743;0.0;0;-35.162785;8.104612;26.05169
11640154;2021-06-21 14:27:07.801;77049;230285;2;3152808;PRATA;MG;3152808;PRATA;MG;1;-19.3086;-48.9276;-19.3086;-48.9276;0.0;0.0;1624285627;0;0;0.0;0.7058441266831141;0.0;0;-59.449165;-32.227642;-21.398254
14562433;2023-05-23 10:11:20.629;479871;230285;2;3152808;PRATA;MG;3152808;PRATA;MG;3;-19.3086;-48.9276;-19.3086;-48.9276;0.0;0.0;1684836680;0;0;0.031746031746031744;0.853547926268619;0.0;0;-34.399128;54.698616;-27.589228
17813640;2025-02-25 16:46:26.322;75321;230285;3;3142809;MONTE ALEGRE DE MINAS;MG;3152808;PRATA;MG;4;-18.869;-48.881;-19.3086;-48.9276;72.49;66.9;1740501986;0;0;0.047619047619047616;0.9893337928049082;0.05955178022772455;0;-31.7238;48.819763;6.3836627
13940019;2022-12-29 13:38:28.738;3333304;230285;2;3152808;PRATA;MG;3152808;PRATA;MG;10;-19.3086;-48.9276;-19.3086;-48.9276;0.0;0.0;1672321108;0;0;0.14285714285714285;0.8230183574701053;0.0;0;-69.147255;12.650508;-69.9507
17175942;2024-10-28 16:29:32.149;81333;230285;8;3170206;UBERLÂNDIA;MG;3152808;PRATA;MG;1;-18.9141;-48.2749;-19.3086;-48.9276;85.1;67.5;1730132972;0;0;0.0;0.9640403802237056;0.0699111118413486;0;-60.925217;75.588974;-2.758483
14588123;2023-05-28 08:54:24.873;230285;230285;37;3152808;PRATA;MG;3152808;PRATA;MG;6;-19.3086;-48.9276;-19.3086;-48.9276;0.0;0.0;1685264064;0;0;0.07936507936507936;0.8545904554659565;0.0;0;-94.769485;60.651947;-17.52248
7908846;2018-12-18 14:43:11.574;76128;230285;30;3152808;PRATA;MG;3152808;PRATA;MG;4;-19.3086;-48.9276;-19.3086;-48.9276;0.0;0.0;1545144191;0;0;0.047619047619047616;0.5127923097006244;0.0;0;-26.488232;-21.298628;38.591053
390528;2012-09-06 09:36:22.560;230285;230285;2;3134202;ITUIUTABA;MG;3152808;PRATA;MG;22;-18.9772;-49.4639;-19.3086;-48.9276;101.1;99.0;1346924182;1;1;0.3333333333333333;0.029268951598611537;0.08305538668813564;0;110.94292;-37.996136;28.797226
1105484;2013-06-12 10:13:17.883;77387;230285;2;3152808;PRATA;MG;3152808;PRATA;MG;1;-19.3086;-48.9276;-19.3086;-48.9276;0.0;0.0;1371031997;0;0;0.0;0.08807578812388916;0.0;0;41.73259;21.023148;73.87454
9260186;2019-11-13 09:15:38.483;441548;230285;2;3152808;PRATA;MG;3152808;PRATA;MG;2;-19.3086;-48.9276;-19.3086;-48.9276;0.0;0.0;1573636538;0;0;0.015873015873015872;0.5822944521490578;0.0;0;-45.284603;-9.702262;68.59599
2131113;2014-05-25 13:39:04.478;77471;230285;2;3152808;PRATA;MG;3152808;PRATA;MG;7;-19.3086;-48.9276;-19.3086;-48.9276;0.0;0.0;1401025144;0;0;0.09523809523809523;0.16123887206607268;0.0;0;66.84925;10.825972;44.03594
