id_gta;dt_emissao_gta;cod_produtor_origem;cod_produtor_destino;id_tipo_finalidade_gta;cod_municipio_origem;nome_municipio_origem;estado_origem;cod_municipio_destino;nome_municipio_destino;estado_destino;qtd;orig_lat;orig_lon;dest_lat;dest_lon;distancia_km;duracao_min;data_seconds;repeticao_origem;flag_binaria;qt_animais_norm;data_seconds_norm;distancia_km_norm;cluster;tsne-3d-1;tsne-3d-2;tsne-3d-3
5860091;2017-06-14 10:01:45.398;60363;62158;2;3148004;PATOS DE MINAS;MG;3148004;PATOS DE MINAS;MG;2;-18.5699;-46.5013;-18.5699;-46.5013;0.0;0.0;1497434505;0;0;0.0;0.5717164636951999;0.0;-1;71.2739;62.09056;-224.3879
10503233;2020-09-22 15:46:00.579;62397;62158;3;3153400;PRESIDENTE OLEGÁRIO;MG;3148004;PATOS DE MINAS;MG;10;-18.4096;-46.4165;-18.5699;-46.5013;27.2;31.1;1600789560;0;0;0.3076923076923077;1.0;0.42144406569569254;-1;48.380413;-196.85861;-13.701472
708807;2013-01-29 13:20:56.635;61596;62158;8;3148004;PATOS DE MINAS;MG;3148004;PATOS DE MINAS;MG;25;-18.5699;-46.5013;-18.5699;-46.5013;0.0;0.0;1359465656;0;0;0.8846153846153846;0.0;0.0;-1;-68.3639;-105.837776;105.81066
2035159;2014-04-24 11:21:00.278;56746;62158;3;3114303;CARMO DO PARANAÍBA;MG;3148004;PATOS DE MINAS;MG;17;-18.991;-46.3167;-18.5699;-46.5013;64.54;64.8;1398338460;0;0;0.5769230769230769;0.16108144844200734;1.0;0;65.494865;183.82;26.998543
8127688;2019-02-18 09:34:43.120;60243;62158;2;3148004;PATOS DE MINAS;MG;3148004;PATOS DE MINAS;MG;16;-18.5699;-46.5013;-18.5699;-46.5013;0.0;0.0;1550482483;0;0;0.5384615384615385;0.7915371160247764;0.0;1;104.598465;12.737129;125.620865
9146436;2019-10-15 20:23:19.670;70275;62158;30;3148004;PATOS DE MINAS;MG;3148004;PATOS DE MINAS;MG;23;-18.5699;-46.5013;-18.5699;-46.5013;0.0;0.0;1571170999;0;0;0.8076923076923077;0.8772663606502897;0.0;1;-62.024105;115.2647;-92.72852
4755024;2016-07-15 14:13:22.406;3074759;62158;2;3153400;PRESIDENTE OLEGÁRIO;MG;3148004;PATOS DE MINAS;MG;28;-18.4096;-46.4165;-18.5699;-46.5013;27.2;31.1;1468592002;0;0;1.0000000000000002;0.4521986599388015;0.42144406569569254;-1;-85.52483;73.79915;89.6014
2964539;2015-02-23 13:12:10.371;61904;62158;2;3148004;PATOS DE MINAS;MG;3148004;PATOS DE MINAS;MG;10;-18.5699;-46.5013;-18.5699;-46.5013;0.0;0.0;1424697130;0;0;0.3076923076923077;0.27030672435997083;0.0;0;-26.185883;-60.54207;-94.72125
6897524;2018-03-28 13:04:29.314;60099;62158;2;3148004;PATOS DE MINAS;MG;3148004;PATOS DE MINAS;MG;15;-18.5699;-46.5013;-18.5699;-46.5013;0.0;0.0;1522242269;0;0;0.5;0.6745150824346018;0.0;1;-188.4446;-73.90842;-146.43135
2964528;2015-02-23 13:11:16.701;61904;62158;2;3148004;PATOS DE MINAS;MG;3148004;PATOS DE MINAS;MG;10;-18.5699;-46.5013;-18.5699;-46.5013;0.0;0.0;1424697076;1;1;0.3076923076923077;0.27030650059432126;0.0;0;141.61441;-9.029093;-54.658886
