id_gta_origem_outro_estado,dt_emissao_gta,id_produtor_origem,id_produtor_destino,id_tipo_finalidade_gta,municipio_origem,estado_origem,municipio_destino,estado_destino,qt_animais,data_seconds,repeticao_origem,flag_binaria,qt_animais_norm,data_seconds_norm,cluster
49944,2016-08-25,2592,307333,18,3201209,ES,3141405,MG,8,1472083200,0,0,0.38888888888888884,0.8414179104477633,0
30009,2015-06-01,7615,307333,2,3200706,ES,3141405,MG,19,1433116800,0,0,1.0,0.0,-1
38685,2016-03-04,2592,307333,18,3201209,ES,3141405,MG,2,1457049600,1,1,0.05555555555555555,0.5167910447761201,0
45476,2016-06-21,10525,307333,18,3203320,ES,3141405,MG,7,1466467200,0,0,0.33333333333333326,0.7201492537313428,0
45476,2016-06-21,10525,307333,18,3203320,ES,3141405,MG,2,1466467200,1,1,0.05555555555555555,0.7201492537313428,0
45476,2016-06-21,10525,307333,18,3203320,ES,3141405,MG,2,1466467200,1,1,0.05555555555555555,0.7201492537313428,0
45477,2016-06-22,10525,307333,18,3203320,ES,3141405,MG,5,1466553600,1,1,0.22222222222222224,0.7220149253731343,0
45477,2016-06-22,10525,307333,18,3203320,ES,3141405,MG,1,1466553600,1,1,0.0,0.7220149253731343,0
47476,2016-07-15,2592,307333,18,3201209,ES,3141405,MG,8,1468540800,1,1,0.38888888888888884,0.7649253731343286,0
53885,2016-11-18,11588,307333,2,3202801,ES,3141405,MG,4,1479427200,0,0,0.16666666666666666,1.0,0
