id_gta_origem_outro_estado,dt_emissao_gta,id_produtor_origem,id_produtor_destino,id_tipo_finalidade_gta,municipio_origem,estado_origem,municipio_destino,estado_destino,qt_animais,distancia_km,duracao_min,data_seconds,repeticao_origem,flag_binaria,qt_animais_norm,data_seconds_norm,distancia_km_norm,cluster,tsne-2d-1,tsne-2d-2
134260,2021-05-21,18240,737655,3,BIRIGÜI,SP,SÃO FRANCISCO DE SALES,MG,27,191.1492,208.56833333333333,1621555200,0,0,1.0,1.0,0.0,0,-808.8389,-287.6663
134306,2021-05-21,18240,737655,3,BIRIGÜI,SP,SÃO FRANCISCO DE SALES,MG,27,191.1492,208.56833333333333,1621555200,1,1,1.0,1.0,0.0,0,-808.8389,-287.6663
134381,2021-05-21,18240,737655,3,BIRIGÜI,SP,SÃO FRANCISCO DE SALES,MG,27,191.1492,208.56833333333333,1621555200,1,1,1.0,1.0,0.0,0,-808.8389,-287.6663
134421,2021-05-21,18240,737655,3,BIRIGÜI,SP,SÃO FRANCISCO DE SALES,MG,1,191.1492,208.56833333333333,1621555200,1,1,0.0,1.0,0.0,1,-856.56714,1086.6385
134421,2021-05-21,18240,737655,3,BIRIGÜI,SP,SÃO FRANCISCO DE SALES,MG,25,191.1492,208.56833333333333,1621555200,1,1,0.9230769230769231,1.0,0.0,0,1277.334,524.7518
134421,2021-05-21,18240,737655,3,BIRIGÜI,SP,SÃO FRANCISCO DE SALES,MG,2,191.1492,208.56833333333333,1621555200,1,1,0.038461538461538464,1.0,0.0,1,226.46866,860.01733
135751,2021-01-06,18240,737655,3,BIRIGÜI,SP,SÃO FRANCISCO DE SALES,MG,25,191.1492,208.56833333333333,1609891200,1,1,0.9230769230769231,0.0,0.0,2,585.5477,-662.4942
135752,2021-01-06,18240,737655,3,BIRIGÜI,SP,SÃO FRANCISCO DE SALES,MG,25,191.1492,208.56833333333333,1609891200,1,1,0.9230769230769231,0.0,0.0,2,585.5477,-662.4942
135961,2021-01-06,18240,737655,3,BIRIGÜI,SP,SÃO FRANCISCO DE SALES,MG,25,191.1492,208.56833333333333,1609891200,1,1,0.9230769230769231,0.0,0.0,2,585.5477,-662.4942
