id_gta_origem_outro_estado,dt_emissao_gta,id_produtor_origem,id_produtor_destino,id_tipo_finalidade_gta,municipio_origem,estado_origem,municipio_destino,estado_destino,qt_animais,data_seconds,repeticao_origem,flag_binaria,qt_animais_norm,data_seconds_norm,cluster
176703,2022-01-14,23847,434376,2,4114203,PR,3170438,MG,69,1642118400,0,0,0.4689655172413793,0.44163887565507487,0
181432,2022-01-14,24062,434376,2,5005806,MS,3127107,MG,20,1642118400,0,0,0.13103448275862067,0.44163887565507487,0
184732,2022-03-09,27444,434376,2,5006200,MS,3127107,MG,60,1646784000,0,0,0.4068965517241379,0.46736541210100135,0
184761,2022-03-11,27447,434376,2,5003454,MS,3127107,MG,28,1646956800,0,0,0.18620689655172412,0.4683182467841842,0
184761,2022-03-11,27447,434376,2,5003454,MS,3127107,MG,32,1646956800,1,1,0.21379310344827585,0.4683182467841842,0
185146,2022-03-11,27475,434376,2,5006200,MS,3127107,MG,49,1646956800,1,1,0.3310344827586207,0.4683182467841842,0
185146,2022-03-11,27475,434376,2,5006200,MS,3127107,MG,11,1646956800,1,1,0.06896551724137931,0.4683182467841842,0
188690,2022-03-16,24855,434376,2,4117107,PR,3127107,MG,65,1647388800,1,1,0.4413793103448276,0.4707003334921396,0
190194,2022-04-27,31074,434376,2,4122404,PR,3127107,MG,58,1651017600,0,0,0.3931034482758621,0.4907098618389707,0
188693,2022-03-16,24855,434376,2,4117107,PR,3127107,MG,65,1647388800,1,1,0.4413793103448276,0.4707003334921396,0
191535,2022-05-06,32159,434376,2,4123709,PR,3127107,MG,64,1651795200,0,0,0.43448275862068964,0.4949976179132918,0
268848,2023-10-02,74832,434376,2,1503093,PA,3127107,MG,38,1696204800,0,0,0.2551724137931034,0.7398761314911866,0
191742,2022-05-09,32332,434376,2,5212204,GO,3127107,MG,10,1652054400,0,0,0.06206896551724138,0.49642686993806606,0
191742,2022-05-09,32332,434376,2,5212204,GO,3127107,MG,55,1652054400,1,1,0.37241379310344824,0.49642686993806606,0
266506,2023-09-19,74679,434376,2,1504208,PA,3127107,MG,38,1695081600,0,0,0.2551724137931034,0.7336827060505016,0
198008,2022-06-23,37790,434376,2,3202801,ES,3127107,MG,56,1655942400,0,0,0.3793103448275862,0.5178656503096715,0
199645,2022-06-29,39289,434376,2,5004304,MS,3127107,MG,60,1656460800,0,0,0.4068965517241379,0.52072415435922,0
199645,2022-06-29,39289,434376,2,5004304,MS,3127107,MG,10,1656460800,1,1,0.06206896551724138,0.52072415435922,0
268453,2023-09-29,74816,434376,2,1507953,PA,3127107,MG,29,1695945600,0,0,0.19310344827586207,0.7384468794664123,0
268822,2023-09-29,74420,434376,2,1503705,PA,3127107,MG,95,1695945600,0,0,0.6482758620689655,0.7384468794664123,0
269053,2023-10-03,74710,434376,2,1501782,PA,3127107,MG,100,1696291200,0,0,0.6827586206896552,0.740352548832778,0
203453,2022-07-19,42825,434376,2,5003108,MS,3127107,MG,60,1658188800,0,0,0.4068965517241379,0.5302525011910433,0
204193,2022-07-20,43489,434376,2,5006309,MS,3127107,MG,20,1658275200,0,0,0.13103448275862067,0.5307289185326347,0
204819,2022-08-01,44089,434376,2,5204557,GO,3127107,MG,14,1659312000,0,0,0.0896551724137931,0.5364459266317301,0
204819,2022-08-01,44089,434376,2,5204557,GO,3127107,MG,46,1659312000,1,1,0.31034482758620685,0.5364459266317301,0
197545,2022-06-17,37432,434376,2,5002001,MS,3127107,MG,65,1655424000,0,0,0.4413793103448276,0.5150071462601247,0
199643,2022-07-01,37879,434376,2,5005681,MS,3127107,MG,60,1656633600,0,0,0.4068965517241379,0.5216769890424011,0
266505,2023-09-19,74679,434376,2,1504208,PA,3127107,MG,31,1695081600,1,1,0.2068965517241379,0.7336827060505016,0
268327,2023-09-29,74803,434376,2,1504703,PA,3127107,MG,61,1695945600,0,0,0.41379310344827586,0.7384468794664123,0
268468,2023-09-29,74818,434376,2,1501782,PA,3127107,MG,40,1695945600,0,0,0.2689655172413793,0.7384468794664123,0
268468,2023-09-29,74818,434376,2,1501782,PA,3127107,MG,55,1695945600,1,1,0.37241379310344824,0.7384468794664123,0
268897,2023-10-02,74838,434376,2,1503093,PA,3127107,MG,57,1696204800,0,0,0.38620689655172413,0.7398761314911866,0
201013,2022-07-11,40539,434376,8,5212204,GO,3127107,MG,60,1657497600,0,0,0.4068965517241379,0.5264411624583136,0
203154,2022-07-22,42540,434376,2,5219209,GO,3127107,MG,60,1658448000,0,0,0.4068965517241379,0.5316817532158176,0
266836,2023-09-21,74710,434376,2,1501782,PA,3127107,MG,100,1695254400,1,1,0.6827586206896552,0.7346355407336826,0
197544,2022-06-17,37432,434376,2,5002001,MS,3127107,MG,65,1655424000,1,1,0.4413793103448276,0.5150071462601247,0
200086,2022-07-06,39708,434376,2,3202801,ES,3127107,MG,54,1657065600,0,0,0.3655172413793103,0.5240590757503583,0
205323,2022-08-05,44543,434376,8,5219209,GO,3127107,MG,40,1659657600,0,0,0.2689655172413793,0.5383515959980958,0
205323,2022-08-05,44543,434376,8,5219209,GO,3127107,MG,15,1659657600,1,1,0.09655172413793103,0.5383515959980958,0
206156,2022-08-09,45350,434376,2,5002209,MS,3127107,MG,60,1660003200,0,0,0.4068965517241379,0.5402572653644597,0
269525,2023-10-06,74885,434376,2,1501782,PA,3127107,MG,100,1696550400,0,0,0.6827586206896552,0.7417818008575523,0
203454,2022-07-20,42826,434376,2,5002902,MS,3127107,MG,41,1658275200,0,0,0.27586206896551724,0.5307289185326347,0
206061,2022-08-09,45255,434376,2,5002209,MS,3127107,MG,26,1660003200,0,0,0.1724137931034483,0.5402572653644597,0
206061,2022-08-09,45255,434376,2,5002209,MS,3127107,MG,34,1660003200,1,1,0.22758620689655173,0.5402572653644597,0
207078,2022-08-11,46236,434376,2,5004403,MS,3127107,MG,19,1660176000,0,0,0.12413793103448274,0.5412101000476426,0
222157,2022-11-25,59843,434376,2,5105622,MT,3170438,MG,29,1669334400,0,0,0.19310344827586207,0.5917103382563127,0
222157,2022-11-25,59843,434376,2,5105622,MT,3170438,MG,38,1669334400,1,1,0.2551724137931034,0.5917103382563127,0
271971,2023-10-17,74991,434376,2,5106174,MT,3127107,MG,65,1697500800,0,0,0.4413793103448276,0.7470223916150562,0
271972,2023-10-17,74991,434376,2,5106174,MT,3127107,MG,65,1697500800,1,1,0.4413793103448276,0.7470223916150562,0
271975,2023-10-17,74991,434376,2,5106174,MT,3127107,MG,66,1697500800,1,1,0.4482758620689655,0.7470223916150562,0
272011,2023-10-17,74710,434376,2,1501782,PA,3127107,MG,99,1697500800,1,1,0.6758620689655173,0.7470223916150562,0
274030,2023-10-18,75093,434376,2,1504703,PA,3127107,MG,34,1697587200,0,0,0.22758620689655173,0.7474988089566459,0
270808,2023-09-05,74939,434376,2,5204102,GO,3127107,MG,5,1693872000,0,0,0.027586206896551724,0.7270128632682233,0
271973,2023-10-17,74991,434376,2,5106174,MT,3127107,MG,65,1697500800,1,1,0.4413793103448276,0.7470223916150562,0
272384,2023-10-20,75003,434376,2,1504703,PA,3127107,MG,26,1697760000,0,0,0.1724137931034483,0.7484516436398287,0
207081,2022-08-11,46238,434376,2,5006259,MS,3127107,MG,1,1660176000,0,0,0.0,0.5412101000476426,0
207081,2022-08-11,46238,434376,2,5006259,MS,3127107,MG,57,1660176000,1,1,0.38620689655172413,0.5412101000476426,0
220387,2022-11-10,58265,434376,2,5101803,MT,3170438,MG,65,1668038400,0,0,0.4413793103448276,0.5845640781324448,0
220428,2022-11-10,58306,434376,2,5101803,MT,3170438,MG,65,1668038400,0,0,0.4413793103448276,0.5845640781324448,0
270727,2023-09-05,74939,434376,2,5204102,GO,3127107,MG,55,1693872000,1,1,0.37241379310344824,0.7270128632682233,0
272932,2023-10-23,75029,434376,2,1504208,PA,3127107,MG,93,1698019200,0,0,0.6344827586206896,0.749880895664603,0
273289,2023-10-26,75029,434376,2,1504208,PA,3127107,MG,95,1698278400,1,1,0.6482758620689655,0.7513101476893773,0
210142,2022-09-01,31405,434376,2,5217104,GO,3127107,MG,60,1661990400,1,1,0.4068965517241379,0.551214864221059,0
211752,2022-09-12,50485,434376,2,5004007,MS,3127107,MG,9,1662940800,0,0,0.05517241379310345,0.5564554549785612,0
211752,2022-09-12,50485,434376,2,5004007,MS,3127107,MG,40,1662940800,1,1,0.2689655172413793,0.5564554549785612,0
211752,2022-09-12,50485,434376,2,5004007,MS,3127107,MG,11,1662940800,1,1,0.06896551724137931,0.5564554549785612,0
211896,2022-09-06,50628,434376,2,5007406,MS,3127107,MG,60,1662422400,0,0,0.4068965517241379,0.5535969509290144,0
217146,2022-10-07,55340,434376,2,5006200,MS,3127107,MG,50,1665100800,0,0,0.33793103448275863,0.5683658885183434,0
217165,2022-10-17,55357,434376,2,5101803,MT,3170438,MG,56,1665964800,0,0,0.3793103448275862,0.5731300619342559,0
217249,2022-10-17,55441,434376,2,5101803,MT,3170438,MG,71,1665964800,0,0,0.48275862068965514,0.5731300619342559,0
217504,2022-10-19,55655,434376,2,5106257,MT,3170438,MG,50,1666137600,0,0,0.33793103448275863,0.5740828966174369,0
217516,2022-10-19,55667,434376,2,5106257,MT,3170438,MG,50,1666137600,0,0,0.33793103448275863,0.5740828966174369,0
217517,2022-10-19,55668,434376,2,5106257,MT,3170438,MG,50,1666137600,0,0,0.33793103448275863,0.5740828966174369,0
217554,2022-10-19,55705,434376,2,5106257,MT,3170438,MG,50,1666137600,0,0,0.33793103448275863,0.5740828966174369,0
217559,2022-10-19,55710,434376,2,5106257,MT,3170438,MG,50,1666137600,0,0,0.33793103448275863,0.5740828966174369,0
217701,2022-10-20,55843,434376,2,5101803,MT,3170438,MG,39,1666224000,0,0,0.26206896551724135,0.5745593139590284,0
217701,2022-10-20,55843,434376,2,5101803,MT,3170438,MG,55,1666224000,1,1,0.37241379310344824,0.5745593139590284,0
223770,2022-12-05,61346,434376,2,5103601,MT,3127107,MG,54,1670198400,0,0,0.3655172413793103,0.5964745116722252,0
272086,2023-09-06,74420,434376,2,1503705,PA,3127107,MG,95,1693958400,1,1,0.6482758620689655,0.7274892806098148,0
272087,2023-09-11,74420,434376,2,1503705,PA,3127107,MG,95,1694390400,1,1,0.6482758620689655,0.7298713673177701,0
272272,2023-10-19,75003,434376,2,1504703,PA,3127107,MG,13,1697673600,1,1,0.08275862068965517,0.7479752262982373,0
272933,2023-10-23,75029,434376,2,1504208,PA,3127107,MG,93,1698019200,1,1,0.6344827586206896,0.749880895664603,0
207077,2022-08-11,17093,434376,2,5004403,MS,3127107,MG,42,1660176000,0,0,0.2827586206896552,0.5412101000476426,0
210033,2022-09-01,48943,434376,2,3202801,ES,3127107,MG,61,1661990400,0,0,0.41379310344827586,0.551214864221059,0
211345,2022-09-09,50122,434376,2,5004007,MS,3127107,MG,60,1662681600,0,0,0.4068965517241379,0.5550262029537887,0
211812,2022-09-12,50545,434376,2,5004007,MS,3127107,MG,60,1662940800,0,0,0.4068965517241379,0.5564554549785612,0
211895,2022-09-06,50628,434376,2,5007406,MS,3127107,MG,60,1662422400,1,1,0.4068965517241379,0.5535969509290144,0
214066,2022-09-26,52614,434376,2,5106307,MT,3170438,MG,70,1664150400,0,0,0.4758620689655172,0.5631252977608394,0
214405,2022-09-29,52882,434376,2,3202801,ES,3127107,MG,68,1664409600,0,0,0.46206896551724136,0.5645545497856119,0
216160,2022-10-10,54462,434376,2,3202801,ES,3127107,MG,72,1665360000,0,0,0.4896551724137931,0.5697951405431159,0
216587,2022-09-30,54820,434376,2,5007406,MS,3127107,MG,61,1664496000,0,0,0.41379310344827586,0.5650309671272034,0
