id_gta,dt_emissao_gta,id_produtor_origem,id_produtor_destino,id_tipo_finalidade_gta,municipio_origem,estado_origem,municipio_destino,estado_destino,qt_animais,data_seconds,repeticao_origem,flag_binaria,qt_animais_norm,data_seconds_norm,cluster
12877983,2022-04-25 13:15:47.354,518011.0,254179,8,3137809,MG,3110707,MG,1,1650892547,0,0,0.0,0.010801780040530673,-1
12878052,2022-04-25 13:19:36.385,729578.0,254179,8,3137809,MG,3110707,MG,2,1650892776,0,0,0.5,0.010806572702037442,-1
12853769,2022-04-19 13:53:43.162,518011.0,254179,2,3137809,MG,3110707,MG,1,1650376423,1,1,0.0,0.0,0
12853769,2022-04-19 13:53:43.162,518011.0,254179,2,3137809,MG,3110707,MG,1,1650376423,1,1,0.0,0.0,0
12860818,2022-04-20 13:21:48.719,729578.0,254179,8,3137809,MG,3110707,MG,2,1650460908,1,1,0.5,0.001768157238814183,-1
12860710,2022-04-20 13:16:16.036,518011.0,254179,8,3137809,MG,3110707,MG,1,1650460576,1,1,0.0,0.0017612089260552466,0
15292205,2023-10-24 14:29:22.887,729578.0,254179,3,3137809,MG,3110707,MG,3,1698157762,1,1,1.0,0.9999990582106264,1
15292205,2023-10-24 14:29:22.887,729578.0,254179,3,3137809,MG,3110707,MG,1,1698157762,1,1,0.0,0.9999990582106264,2
15292261,2023-10-24 14:30:07.200,518011.0,254179,3,3137809,MG,3110707,MG,3,1698157807,1,1,1.0,1.0,1
15292261,2023-10-24 14:30:07.200,518011.0,254179,3,3137809,MG,3110707,MG,1,1698157807,1,1,0.0,1.0,2
