id_gta_origem_outro_estado,dt_emissao_gta,id_produtor_origem,id_produtor_destino,id_tipo_finalidade_gta,municipio_origem,estado_origem,municipio_destino,estado_destino,qt_animais,distancia_km,data_seconds,repeticao_origem,flag_binaria,qt_animais_norm,data_seconds_norm,distancia_km_norm,cluster,tsne-3d-1,tsne-3d-2,tsne-3d-3
47399,2016-07-04,10766,618305,2,CRISTALÂNDIA DO PIAUÍ,PI,ABAETÉ,MG,20,1.32,1467590400,0,0,0.3103448275862069,1.0,0.0,-1,122.85273,12.184874,67.839005
47408,2016-06-30,10766,618305,2,CRISTALÂNDIA DO PIAUÍ,PI,ABAETÉ,MG,60,1.32,1467244800,1,1,1.0,0.0,0.0,-1,-82.756355,151.76724,27.391037
47415,2016-07-04,10776,618305,2,RIACHO FRIO,PI,ABAETÉ,MG,2,1.396,1467590400,0,0,0.0,1.0,0.9620253164556942,0,-33.236973,-90.66626,-70.40303
47410,2016-07-04,10563,618305,2,SÃO GONÇALO DO GURGUÉIA,PI,ABAETÉ,MG,10,1.399,1467590400,0,0,0.13793103448275862,1.0,1.0,0,69.20677,8.319943,-116.97913
47414,2016-07-04,10775,618305,2,CORRENTE,PI,ABAETÉ,MG,16,1.346,1467590400,0,0,0.24137931034482757,1.0,0.3291139240506311,1,-119.984665,23.786255,-50.907997
47424,2016-07-04,10779,618305,2,RIACHO FRIO,PI,ABAETÉ,MG,5,1.396,1467590400,0,0,0.05172413793103449,1.0,0.9620253164556942,0,-36.84237,8.204663,89.92116
47378,2016-07-04,10769,618305,2,CORRENTE,PI,ABAETÉ,MG,9,1.346,1467590400,0,0,0.1206896551724138,1.0,0.3291139240506311,1,49.27103,110.997185,-21.165369
47378,2016-07-04,10769,618305,2,CORRENTE,PI,ABAETÉ,MG,8,1.346,1467590400,1,1,0.10344827586206896,1.0,0.3291139240506311,1,26.368382,-131.76752,63.242134
47407,2016-06-30,10563,618305,2,SÃO GONÇALO DO GURGUÉIA,PI,ABAETÉ,MG,23,1.399,1467244800,1,1,0.3620689655172414,0.0,1.0,-1,133.27483,-99.64453,-37.824398
47422,2016-07-04,10778,618305,2,RIACHO FRIO,PI,ABAETÉ,MG,5,1.396,1467590400,0,0,0.05172413793103449,1.0,0.9620253164556942,0,-36.84237,8.204663,89.92116
