id_gta;dt_emissao_gta;cod_produtor_origem;cod_produtor_destino;id_tipo_finalidade_gta;cod_municipio_origem;nome_municipio_origem;estado_origem;cod_municipio_destino;nome_municipio_destino;estado_destino;qtd;orig_lat;orig_lon;dest_lat;dest_lon;distancia_km;duracao_min;data_seconds;repeticao_origem;flag_binaria;qt_animais_norm;data_seconds_norm;distancia_km_norm;cluster;tsne-3d-1;tsne-3d-2;tsne-3d-3
17425129;2024-12-12 09:28:29.863;3173240;252953;18;3124401;ESPÍRITO SANTO DO DOURADO;MG;3169802;TURVOLÂNDIA;MG;7;-22.0454;-45.9548;-21.8733;-45.7859;38.34;52.6;1733995709;0;0;0.027027027027027025;0.9728925908747534;0.04768122971309182;0;-38.843643;20.887907;-77.939995
2049055;2014-04-28 08:43:05.439;106693;252953;8;3154309;RESPLENDOR;MG;3169802;TURVOLÂNDIA;MG;22;-19.3194;-41.2462;-21.8733;-45.7859;804.09;722.0;1398674585;0;0;0.0945945945945946;0.08316741123455573;1.0;0;-41.098682;0.30027092;112.91957
11528962;2021-05-27 15:44:17.703;251939;252953;3;3162005;SÃO GONÇALO DO SAPUCAÍ;MG;3169802;TURVOLÂNDIA;MG;34;-21.8932;-45.5893;-21.8733;-45.7859;27.99;36.5;1622130257;0;0;0.14864864864864863;0.6760741018128114;0.034809536245942616;0;-49.3695;-26.839323;24.224058
17960911;2025-03-26 09:03:28.520;249509;252953;8;3167400;SILVIANÓPOLIS;MG;3169802;TURVOLÂNDIA;MG;10;-22.0274;-45.8385;-21.8733;-45.7859;20.72;23.1;1742979808;0;0;0.040540540540540536;0.9967305734072234;0.025768259771916074;0;28.922247;-39.963226;-71.01629
10964489;2021-01-20 08:21:07.836;248639;252953;18;3152501;POUSO ALEGRE;MG;3169802;TURVOLÂNDIA;MG;3;-22.2266;-45.9389;-21.8733;-45.7859;52.79;56.2;1611130867;0;0;0.00900900900900901;0.6468888416450609;0.06565185489186533;0;-0.025330555;3.5457318;-23.45511
4359222;2016-04-06 12:36:13.847;248705;252953;18;3167400;SILVIANÓPOLIS;MG;3169802;TURVOLÂNDIA;MG;4;-22.0274;-45.8385;-21.8733;-45.7859;20.72;23.1;1459946173;0;0;0.013513513513513514;0.245742539189036;0.025768259771916074;0;7.6773124;17.688461;76.696365
9828596;2020-04-06 12:49:13.963;3058379;252953;2;3167400;SILVIANÓPOLIS;MG;3169802;TURVOLÂNDIA;MG;5;-22.0274;-45.8385;-21.8733;-45.7859;20.72;23.1;1586177353;0;0;0.018018018018018018;0.58067837013804;0.025768259771916074;0;53.69766;5.231495;21.09133
10973217;2021-01-21 13:21:34.167;3130732;252953;18;3169802;TURVOLÂNDIA;MG;3169802;TURVOLÂNDIA;MG;2;-21.8733;-45.7859;-21.8733;-45.7859;0.0;0.0;1611235294;0;0;0.0045045045045045045;0.6471659232980924;0.0;0;36.133423;-36.284042;12.127067
9835261;2020-04-08 09:46:38.835;424960;252953;2;3102803;ANDRELÂNDIA;MG;3169802;TURVOLÂNDIA;MG;16;-21.7411;-44.3117;-21.8733;-45.7859;220.09;223.9;1586339198;0;0;0.06756756756756757;0.5811078019912479;0.27371314156375526;0;-38.91012;-28.09222;69.45047
4432683;2016-04-22 15:10:54.614;163997;252953;18;3151701;POÇO FUNDO;MG;3169802;TURVOLÂNDIA;MG;5;-21.78;-45.9658;-21.8733;-45.7859;39.66;48.4;1461337854;0;0;0.018018018018018018;0.24943515960303309;0.04932283699585866;0;8.080087;89.81386;3.0776234
985527;2013-04-30 13:58:31.450;381950;252953;8;3169802;TURVOLÂNDIA;MG;3169802;TURVOLÂNDIA;MG;20;-21.8733;-45.7859;-21.8733;-45.7859;0.0;0.0;1367330311;0;0;0.08558558558558559;0.0;0.0;0;22.84878;31.97151;116.516594
17716392;2025-02-10 08:26:11.941;250408;252953;2;3110905;CAMPANHA;MG;3169802;TURVOLÂNDIA;MG;6;-21.836;-45.4004;-21.8733;-45.7859;60.79;66.5;1739175971;0;0;0.022522522522522525;0.9866376525742755;0.07560098993893717;0;5.7514753;-8.533889;-125.28964
1651082;2013-12-17 13:07:24.691;415170;252953;2;3162005;SÃO GONÇALO DO SAPUCAÍ;MG;3169802;TURVOLÂNDIA;MG;6;-21.8932;-45.5893;-21.8733;-45.7859;27.99;36.5;1387285644;0;0;0.022522522522522525;0.05294853490412654;0.034809536245942616;0;5.9189663;103.2161;81.96121
13251907;2022-07-13 14:02:34.396;468612;252953;18;3169802;TURVOLÂNDIA;MG;3169802;TURVOLÂNDIA;MG;27;-21.8733;-45.7859;-21.8733;-45.7859;0.0;0.0;1657720954;0;0;0.11711711711711711;0.7705087705986795;0.0;0;-28.188643;-62.816788;-22.206774
7764908;2018-11-08 15:21:53.101;252435;252953;18;3169802;TURVOLÂNDIA;MG;3169802;TURVOLÂNDIA;MG;14;-21.8733;-45.7859;-21.8733;-45.7859;0.0;0.0;1541690513;0;0;0.05855855855855855;0.46263909710189033;0.0;0;24.756435;53.248474;11.119865
9668223;2020-02-20 14:29:32.503;367400;252953;3;3102803;ANDRELÂNDIA;MG;3169802;TURVOLÂNDIA;MG;29;-21.7411;-44.3117;-21.8733;-45.7859;220.09;223.9;1582208972;0;0;0.12612612612612611;0.5701488560531907;0.27371314156375526;0;-48.78136;-54.25736;64.99142
13264018;2022-07-15 13:26:49.958;162596;252953;18;3114709;CARVALHÓPOLIS;MG;3169802;TURVOLÂNDIA;MG;10;-21.7735;-45.8421;-21.8733;-45.7859;16.42;26.3;1657891609;0;0;0.040540540540540536;0.7709615784883832;0.020420599684114964;0;23.836378;-84.83268;-28.938221
1436360;2013-09-25 13:08:53.371;252953;252953;2;3169802;TURVOLÂNDIA;MG;3162005;SÃO GONÇALO DO SAPUCAÍ;MG;2;-21.8733;-45.7859;-21.8932;-45.5893;28.14;36.4;1380114533;0;0;0.0045045045045045045;0.03392104881382352;0.03499608252807521;0;16.594488;104.95953;43.181976
12644519;2022-03-03 09:15:36.691;440528;252953;18;3169802;TURVOLÂNDIA;MG;3169802;TURVOLÂNDIA;MG;45;-21.8733;-45.7859;-21.8733;-45.7859;0.0;0.0;1646298936;0;0;0.1981981981981982;0.7402021293239605;0.0;0;-53.337345;-86.08313;-7.871911
17668843;2025-01-31 10:15:24.552;50059;252953;18;3107505;BOM JARDIM DE MINAS;MG;3169802;TURVOLÂNDIA;MG;6;-21.9479;-44.1885;-21.8733;-45.7859;214.65;210.9;1738318524;0;0;0.022522522522522525;0.9843625433386674;0.2669477297317464;0;-9.072095;-66.768684;-69.50782
10989144;2021-01-25 15:23:48.087;3111121;252953;18;3169802;TURVOLÂNDIA;MG;3169802;TURVOLÂNDIA;MG;15;-21.8733;-45.7859;-21.8733;-45.7859;0.0;0.0;1611588228;0;0;0.06306306306306307;0.6481023816482416;0.0;0;61.68084;-30.912994;33.785477
