id_gta_origem_outro_estado,dt_emissao_gta,id_produtor_origem,id_produtor_destino,id_tipo_finalidade_gta,municipio_origem,estado_origem,municipio_destino,estado_destino,qt_animais,distancia_km,data_seconds,repeticao_origem,flag_binaria,qt_animais_norm,data_seconds_norm,distancia_km_norm,cluster,tsne-3d-1,tsne-3d-2,tsne-3d-3
220197,2022-11-08,58111,289628,3,BOTUCATU,SP,UBERABA,MG,1,405.0,1667865600,0,0,0.0,0.9186893203883493,0.5080090093490871,0,16.168453,90.06152,-90.19397
221681,2022-11-21,59459,289628,3,SANTO ANTÔNIO DO ARACANGUÁ,SP,UBERABA,MG,1,386.0,1668988800,0,0,0.0,0.921844660194175,0.48410151875479723,0,-4.006305,122.655396,15.764743
220256,2022-11-09,58162,289628,3,ITAGIBÁ,BA,UBERABA,MG,1,1.288,1667952000,0,0,0.0,0.9189320388349511,2.2649201615643037e-05,1,-60.049007,80.39491,31.172695
220256,2022-11-09,58162,289628,3,ITAGIBÁ,BA,UBERABA,MG,7,1.288,1667952000,1,1,0.15384615384615385,0.9189320388349511,2.2649201615643037e-05,1,47.58996,31.512226,-9.938146
220256,2022-11-09,58162,289628,3,ITAGIBÁ,BA,UBERABA,MG,37,1.288,1667952000,1,1,0.923076923076923,0.9189320388349511,2.2649201615643037e-05,2,61.996975,65.74465,4.0044904
220429,2022-11-10,58307,289628,3,ITAGIBÁ,BA,UBERABA,MG,3,1.288,1668038400,0,0,0.05128205128205129,0.919174757281553,2.2649201615643037e-05,1,-2.5345526,104.723595,-25.73917
220429,2022-11-10,58307,289628,3,ITAGIBÁ,BA,UBERABA,MG,7,1.288,1668038400,1,1,0.15384615384615385,0.919174757281553,2.2649201615643037e-05,1,-47.01219,24.83068,-70.84992
222983,2022-11-30,60603,289628,3,ITAGIBÁ,BA,UBERABA,MG,37,1.288,1669766400,0,0,0.923076923076923,0.9240291262135925,2.2649201615643037e-05,2,-115.75597,-11.507279,-4.9862046
268156,2023-09-28,32116,289628,3,ITAGIBÁ,BA,UBERABA,MG,9,1.288,1695859200,0,0,0.20512820512820512,0.9973300970873789,2.2649201615643037e-05,1,-44.916515,50.35707,1.4956958
268156,2023-09-28,32116,289628,3,ITAGIBÁ,BA,UBERABA,MG,5,1.288,1695859200,1,1,0.10256410256410256,0.9973300970873789,2.2649201615643037e-05,1,-81.88845,53.94165,12.524169
3594,2012-06-28,1626,289628,3,ITAGIBÁ,BA,UBERABA,MG,4,1.288,1340841600,0,0,0.07692307692307693,0.0,2.2649201615643037e-05,3,-55.7358,-24.133587,-31.252634
3594,2012-06-28,1626,289628,3,ITAGIBÁ,BA,UBERABA,MG,4,1.288,1340841600,1,1,0.07692307692307693,0.0,2.2649201615643037e-05,3,-55.7358,-24.133587,-31.252634
3598,2012-06-28,1627,289628,3,BARRA DO ROCHA,BA,UBERABA,MG,1,1.328,1340841600,0,0,0.0,0.0,7.298076076151655e-05,3,-25.2531,6.827756,33.823914
3598,2012-06-28,1627,289628,3,BARRA DO ROCHA,BA,UBERABA,MG,1,1.328,1340841600,1,1,0.0,0.0,7.298076076151655e-05,3,-25.2531,6.827756,33.823914
3598,2012-06-28,1627,289628,3,BARRA DO ROCHA,BA,UBERABA,MG,1,1.328,1340841600,1,1,0.0,0.0,7.298076076151655e-05,3,-25.2531,6.827756,33.823914
4922,2012-09-11,378,289628,3,LINS,SP,UBERABA,MG,1,404.0,1347321600,0,0,0.0,0.01820388349514568,0.5067507203704403,3,-7.0030384,-96.76674,-23.902401
4927,2012-09-03,2070,289628,3,BARRETOS,SP,UBERABA,MG,1,144.0,1346630400,0,0,0.0,0.016262135922330057,0.17959558592226293,3,-16.856771,-0.16163087,76.959656
4929,2012-07-19,2075,289628,3,RIO VERDE,GO,UBERABA,MG,1,444.0,1342656000,0,0,0.0,0.0050970873786408966,0.5570822795163137,3,-10.849874,-111.65556,26.016233
4929,2012-07-19,2075,289628,3,RIO VERDE,GO,UBERABA,MG,1,444.0,1342656000,1,1,0.0,0.0050970873786408966,0.5570822795163137,3,-10.849874,-111.65556,26.016233
4929,2012-07-19,2075,289628,3,RIO VERDE,GO,UBERABA,MG,1,444.0,1342656000,1,1,0.0,0.0050970873786408966,0.5570822795163137,3,53.27164,-88.10806,52.3912
