id_gta_origem_outro_estado,dt_emissao_gta,id_produtor_origem,id_produtor_destino,id_tipo_finalidade_gta,municipio_origem,estado_origem,municipio_destino,estado_destino,qt_animais,distancia_km,duracao_min,data_seconds,repeticao_origem,flag_binaria,qt_animais_norm,data_seconds_norm,distancia_km_norm,cluster,tsne-2d-1,tsne-2d-2
220099,2022-11-07,58020,177885,2,MUCURICI,ES,NANUQUE,MG,100,45.276,42.391666666666666,1667779200,0,0,1.0,0.9562841530054698,0.0,0,1.5638436,13.943452
220616,2022-11-11,58480,177885,2,COLATINA,ES,NANUQUE,MG,80,252.7565,240.2433333333333,1668124800,0,0,0.7894736842105263,0.9635701275045534,1.0,0,2.5730586,-5.5068846
221189,2022-11-18,59008,177885,2,MUCURICI,ES,CARLOS CHAGAS,MG,95,100.2317,94.845,1668729600,0,0,0.9473684210526316,0.9763205828779604,0.26487163853952544,0,19.324951,25.522032
221189,2022-11-18,59008,177885,2,MUCURICI,ES,CARLOS CHAGAS,MG,5,100.2317,94.845,1668729600,1,1,0.0,0.9763205828779604,0.26487163853952544,1,38.734047,14.256466
221292,2022-11-18,59111,177885,2,ECOPORANGA,ES,CARLOS CHAGAS,MG,100,105.3188,136.85333333333335,1668729600,0,0,1.0,0.9763205828779604,0.2893900872612125,0,19.825264,7.3625445
221649,2022-11-21,59427,177885,2,MUCURICI,ES,NANUQUE,MG,100,45.276,42.391666666666666,1668988800,0,0,1.0,0.9817850637522767,0.0,0,33.723362,-1.1296359
221997,2022-11-24,59693,177885,2,MUCURICI,ES,CARLOS CHAGAS,MG,100,100.2317,94.845,1669248000,0,0,1.0,0.987249544626593,0.26487163853952544,0,9.680052,4.917264
222007,2022-11-24,59703,177885,2,MUCURICI,ES,CARLOS CHAGAS,MG,37,100.2317,94.845,1669248000,0,0,0.3368421052631579,0.987249544626593,0.26487163853952544,1,31.332655,22.774223
222061,2022-11-24,59757,177885,2,MUCURICI,ES,CARLOS CHAGAS,MG,97,100.2317,94.845,1669248000,0,0,0.9684210526315791,0.987249544626593,0.26487163853952544,0,-2.986772,3.6092632
222953,2022-11-30,60573,177885,2,MUCURICI,ES,NANUQUE,MG,100,45.276,42.391666666666666,1669766400,0,0,1.0,0.9981785063752326,0.0,0,42.832035,3.4495938
222969,2022-11-30,60589,177885,2,MUCURICI,ES,NANUQUE,MG,47,45.276,42.391666666666666,1669766400,0,0,0.4421052631578947,0.9981785063752326,0.0,1,23.944391,15.774762
222969,2022-11-30,60589,177885,2,MUCURICI,ES,NANUQUE,MG,33,45.276,42.391666666666666,1669766400,1,1,0.29473684210526313,0.9981785063752326,0.0,1,6.8886437,-15.223105
135788,2021-05-31,16965,177885,2,MUCURICI,ES,NANUQUE,MG,100,45.276,42.391666666666666,1622419200,0,0,1.0,0.0,0.0,2,15.372007,-5.579892
135789,2021-05-31,16965,177885,2,MUCURICI,ES,NANUQUE,MG,100,45.276,42.391666666666666,1622419200,1,1,1.0,0.0,0.0,2,15.372007,-5.579892
135791,2021-05-31,16965,177885,2,MUCURICI,ES,NANUQUE,MG,46,45.276,42.391666666666666,1622419200,1,1,0.43157894736842106,0.0,0.0,-1,26.373095,-9.247369
220520,2022-11-11,58384,177885,2,COLATINA,ES,NANUQUE,MG,10,252.7565,240.2433333333333,1668124800,0,0,0.05263157894736842,0.9635701275045534,1.0,1,38.6343,-10.181699
220520,2022-11-11,58384,177885,2,COLATINA,ES,NANUQUE,MG,50,252.7565,240.2433333333333,1668124800,1,1,0.47368421052631576,0.9635701275045534,1.0,1,30.42658,8.45749
221688,2022-11-21,59466,177885,2,MUCURICI,ES,NANUQUE,MG,5,45.276,42.391666666666666,1668988800,0,0,0.0,0.9817850637522767,0.0,1,7.3586526,23.679672
221856,2022-11-22,59602,177885,2,MUCURICI,ES,NANUQUE,MG,93,45.276,42.391666666666666,1669075200,0,0,0.9263157894736842,0.9836065573770512,0.0,0,29.597113,-18.937292
221856,2022-11-22,59602,177885,2,MUCURICI,ES,NANUQUE,MG,7,45.276,42.391666666666666,1669075200,1,1,0.021052631578947364,0.9836065573770512,0.0,1,24.51089,0.14171638
222033,2022-11-24,59729,177885,2,MUCURICI,ES,CARLOS CHAGAS,MG,100,100.2317,94.845,1669248000,0,0,1.0,0.987249544626593,0.26487163853952544,0,9.680052,4.917264
222752,2022-11-29,60391,177885,2,MUCURICI,ES,CARLOS CHAGAS,MG,100,100.2317,94.845,1669680000,0,0,1.0,0.9963570127504582,0.26487163853952544,0,17.969658,-17.692953
223076,2022-12-01,60671,177885,2,MUCURICI,ES,NANUQUE,MG,100,45.276,42.391666666666666,1669852800,0,0,1.0,1.0,0.0,0,13.687298,15.416079
