id_gta,dt_emissao_gta,cod_produtor_origem,cod_produtor_destino,id_tipo_finalidade_gta,nome_municipio_origem,estado_origem,nome_municipio_destino,estado_destino,qtd,municipio_origem,municipio_destino,distancia_km,duracao_min,data_seconds,repeticao_origem,flag_binaria,qt_animais_norm,data_seconds_norm,distancia_km_norm,cluster,tsne-2d-1,tsne-2d-2
1712353,2014-01-13 23:22:50.371,476337,17348,2,FRUTAL,MG,UNIÃO DE MINAS,MG,1,,,178.2355,172.55666666666667,1389655370,0,0,0.0,0.09435666171849588,0.13878854722628475,0,129.39175,-23.88277
8356889,2019-04-15 13:08:57.073,73532,17348,2,SANTA VITÓRIA,MG,FRUTAL,MG,22,,,237.6262,201.2516666666667,1555333737,0,0,0.28378378378378377,0.529240984275241,0.18503494018252586,0,-14.251408,-67.57497
6851704,2018-03-16 16:11:44.951,17348,17348,2,FRUTAL,MG,FRUTAL,MG,75,,,0.0,0.0,1521216704,0,0,1.0,0.43968817751772926,0.0,1,32.675438,-121.00168
1299461,2013-08-09 08:44:52.748,17348,17348,2,COMENDADOR GOMES,MG,FRUTAL,MG,27,,,54.4304,45.04166666666666,1376037892,1,1,0.3513513513513514,0.05861254012800865,0.04238390298759546,0,72.98648,92.566734
15200354,2023-10-03 22:54:14.777,3148657,17348,30,ITAPAGIPE,MG,FRUTAL,MG,2,,,51.342,51.295,1696373654,0,0,0.013513513513513514,0.8994525566648002,0.039979025456162845,0,-112.76356,-15.450077
7766285,2018-11-09 10:02:21.015,17348,17348,2,FRUTAL,MG,PRATA,MG,21,,,100.9376,77.53999999999999,1541757741,1,1,0.2702702702702703,0.49360574757899167,0.07859816290530136,0,95.8299,-84.023834
5310716,2017-01-10 09:09:24.855,17784,17348,2,FRUTAL,MG,FRUTAL,MG,1,,,0.0,0.0,1484039364,0,0,0.0,0.34210246000301137,0.0,0,-36.77794,-121.21579
8056726,2019-01-30 08:34:53.824,16247,17348,30,ITAPAGIPE,MG,FRUTAL,MG,1,,,51.342,51.295,1548837293,0,0,0.0,0.512188657534431,0.039979025456162845,0,12.904066,72.2313
4696408,2016-07-01 08:46:08.580,17348,17348,2,FRUTAL,MG,FRUTAL,MG,65,,,0.0,0.0,1467362768,1,1,0.8648648648648649,0.29832854862680547,0.0,1,109.05234,39.446285
5899821,2017-06-24 10:28:06.959,487143,17348,30,FRUTAL,MG,FRUTAL,MG,2,,,0.0,0.0,1498300086,0,0,0.013513513513513514,0.3795350140439382,0.0,0,-82.287735,-72.56566
11863444,2021-08-12 11:17:36.913,3260416,17348,2,UMBURATIBA,MG,FRUTAL,MG,10,,,1284.2234,1114.5616666666667,1628767056,0,0,0.12162162162162163,0.7219939656370644,1.0,0,47.304516,31.599073
17473573,2024-12-20 07:22:06.431,17348,17348,2,FRUTAL,MG,FRUTAL,MG,68,,,0.0,0.0,1734679326,1,1,0.9054054054054055,0.9999999999999996,0.0,2,-45.289867,-23.507874
6900007,2018-03-28 16:30:34.090,149930,17348,2,SANTANA DO JACARÉ,MG,FRUTAL,MG,22,,,539.9814,421.075,1522254634,0,0,0.28378378378378377,0.4424126097600589,0.42047310460158255,0,-68.00994,26.22683
13848038,2022-12-07 14:42:00.655,17348,17348,2,FRUTAL,MG,FRUTAL,MG,64,,,0.0,0.0,1670424120,1,1,0.8513513513513514,0.8313383802723373,0.0,2,-46.66045,88.62113
16088611,2024-04-13 12:42:37.685,283896,17348,30,FRUTAL,MG,FRUTAL,MG,1,,,0.0,0.0,1713012157,0,0,0.0,0.9431264788342131,0.0,0,40.92938,-62.176647
15539022,2023-12-14 14:32:08.368,463518,17348,18,ATALÉIA,MG,FRUTAL,MG,70,,,1167.1792,969.87,1702564328,0,0,0.9324324324324326,0.915702276633731,0.9088599382319307,2,-108.61433,67.034645
16990683,2024-09-23 14:20:15.054,3255645,17348,8,MURIAÉ,MG,FRUTAL,MG,40,,,949.968,750.1016666666667,1727101215,0,0,0.5270270270270271,0.9801084370387669,0.7397217649203401,-1,-15.341948,28.266743
10366448,2020-08-20 11:07:50.126,3201368,17348,30,FRUTAL,MG,FRUTAL,MG,3,,,0.0,0.0,1597921670,0,0,0.02702702702702703,0.6410288098505439,0.0,0,71.51711,-16.175446
560739,2012-11-23 22:03:27.591,18614,17348,2,FRUTAL,MG,UNIÃO DE MINAS,MG,17,,,178.2355,172.55666666666667,1353708207,0,0,0.21621621621621623,0.0,0.13878854722628475,0,12.66942,-15.070529
2559086,2014-10-01 09:21:52.367,507779,17348,2,GOUVEIA,MG,UNIÃO DE MINAS,MG,17,,,894.275,697.685,1412155312,0,0,0.21621621621621623,0.15341610448953702,0.696354699657396,0,7.904761,129.61678
