id_gta;dt_emissao_gta;cod_produtor_origem;cod_produtor_destino;qtd;distancia_km;data_seconds
4434315;2016-04-24 09:20:58.027;3102519;244042;1;29.58;1461489658
16354928;2024-05-29 09:49:27.447;252953;252953;223;0.0;1716976167
3561016;2015-08-20 16:14:21.587;3098268;25667;400;299.81;1440087261
515113;2012-10-29 10:14:00.105;25930;25930;1969;0.0;1351505640
57888;2017-03-02 00:00:00.000;2655;25930;2;1554.23;1488412800
258695;2023-08-03 00:00:00.000;74283;26179;100;2009.43;1691020800
5199972;2016-12-06 09:02:29.742;335952;269176;35;934.77;1481014949
5458866;2017-02-23 08:01:17.886;277554;277554;268;56.24;1487836877
10752573;2020-11-26 03:19:08.391;277554;277554;362;124.06;1606360748
11657664;2021-06-25 17:06:42.785;30923;287861;1;1155.17;1624640802
5255417;2016-12-21 09:15:33.026;96188;287861;2;952.15;1482311733
15249166;2023-10-16 07:59:34.868;288072;288072;221;29.49;1697443174
31601;2012-05-04 15:17:57.798;224713;288691;4;270.63;1336144677
9948852;2020-05-14 13:44:55.902;288691;288691;209;0.0;1589463895
37100;2015-12-11 00:00:00.000;9211;290259;9;2469.95;1449792000
7489737;2018-08-24 14:37:58.766;30803;290453;26;510.56;1535121478
2908137;2015-02-02 11:31:19.970;299454;292427;40;765.59;1422876679
14196951;2023-03-06 13:57:54.298;103621;296383;30;878.76;1678111074
1736025;2014-01-22 08:31:07.358;296383;296383;328;0.0;1390379467
174349;2012-06-25 11:19:36.237;297753;297753;1407;0.0;1340623176
2776135;2014-12-16 16:35:14.588;332872;298103;240;329.68;1418747714
10549658;2020-10-02 17:41:50.379;3237895;298475;167;1348.85;1601660510
3379309;2015-06-25 14:37:24.049;21626;30145;164;341.01;1435243044
1580593;2013-11-21 16:11:21.513;302761;302761;249;0.0;1385050281
3250034;2015-05-20 07:55:33.580;302761;302761;506;26.65;1432108533
5259481;2016-12-22 08:11:38.194;30803;30314;48;477.8;1482394298
8843810;2019-08-05 13:59:10.058;30803;30314;15;477.8;1565013550
8117891;2019-02-14 13:37:53.506;303506;303506;957;0.0;1550151473
2031492;2014-04-23 14:49:10.712;211687;303506;12;1116.48;1398264550
11439684;2021-05-07 10:03:20.593;304498;304498;719;21.37;1620381800
3648566;2015-09-18 13:04:38.851;3077152;3049948;60;388.42;1442581478
5339237;2017-01-18 11:18:40.735;3051016;3051016;44;0.0;1484738320
3993465;2015-12-23 16:06:34.556;414191;3051016;45;0.0;1450886794
8525555;2019-05-27 11:23:10.814;3184110;3060771;400;520.63;1558956190
3206127;2015-04-30 14:08:21.814;79034;3060771;423;132.09;1430402901
6216;2012-12-05 00:00:00.000;736;3061900;50;1712.99;1354665600
10460843;2020-09-11 15:54:46.211;344083;3064389;100;874.84;1599839686
10460799;2020-09-11 15:54:43.470;344083;3064389;100;874.84;1599839683
607538;2012-12-13 12:04:52.648;18444;3066431;8;678.49;1355400292
607262;2012-12-13 10:53:08.985;16338;3066431;15;678.49;1355395988
11454965;2021-05-11 19:30:04.150;3072672;3072672;238;13.54;1620761404
17498507;2024-12-26 17:32:55.062;3282845;3072672;188;961.33;1735234375
6776518;2018-02-26 16:01:15.620;3080773;3080773;1500;0.0;1519660875
37573;2016-01-07 00:00:00.000;9287;3086731;10;1775.93;1452124800
17118177;2024-10-17 09:35:32.969;72183;3087295;97;359.23;1729157732
7807673;2018-11-24 08:56:51.746;3147681;3087295;102;360.66;1543049811
5643583;2017-04-18 13:10:02.727;439353;3098520;59;191.06;1492521002
12047495;2021-09-29 12:03:50.200;14071;3100946;918;46.2;1632917030
124435;2020-12-16 00:00:00.000;3628;3100946;9;1863.19;1608076800
11506528;2021-05-24 08:47:53.940;3103647;3103647;782;0.0;1621846073
2541201;2014-09-25 11:08:33.266;3099759;3108175;70;77.69;1411643313
2951255;2015-02-18 11:07:51.832;3096046;3108175;45;39.89;1424257671
5081717;2016-10-25 13:54:52.634;193306;3111413;210;234.4;1477403692
12011866;2021-09-20 15:25:46.417;3202547;3114179;40;0.0;1632151546
3779023;2015-10-23 16:19:07.244;472010;3114179;1;89.82;1445617147
3534339;2015-08-12 09:53:35.534;3142216;3123241;4;215.19;1439373215
2707602;2014-11-26 08:27:37.747;230900;3123241;13;104.89;1416990457
2995557;2015-03-04 10:20:36.872;59588;3123241;2;126.82;1425464436
17110388;2024-10-16 09:52:28.550;3340605;3126317;100;1138.51;1729072348
3681359;2015-09-28 16:10:13.806;506428;3127383;255;0.0;1443456613
12809647;2022-04-07 14:51:33.066;344083;31274;10;697.18;1649343093
6913522;2018-04-03 15:11:35.084;3132199;3132199;700;0.0;1522768295
6904691;2018-04-02 09:37:04.479;3132199;3132199;700;0.0;1522661824
11707674;2021-07-06 11:17:43.686;3134344;3134344;7;0.0;1625570263
