id_gta,dt_emissao_gta,id_produtor_origem,id_produtor_destino,id_tipo_finalidade_gta,municipio_origem,estado_origem,municipio_destino,estado_destino,qt_animais,data_seconds,repeticao_origem,flag_binaria,qt_animais_norm,data_seconds_norm,cluster
7338986,2018-07-17 16:09:50.172,23567.0,447467,2,3161304,MG,3134202,MG,36,1531843790,0,0,0.28455284552845533,0.4879898419480786,0
7339040,2018-07-17 16:17:45.255,70218.0,447467,2,3111101,MG,3134202,MG,50,1531844265,0,0,0.39837398373983746,0.48799103735290483,0
7339060,2018-07-17 16:21:50.778,557370.0,447467,2,3111101,MG,3134202,MG,9,1531844510,1,1,0.06504065040650407,0.48799165393013144,1
7339002,2018-07-17 16:12:12.114,685268.0,447467,2,3134400,MG,3134202,MG,18,1531843932,0,0,0.13821138211382117,0.4879901993112057,0
7339031,2018-07-17 16:15:39.509,494012.0,447467,2,3161304,MG,3134202,MG,47,1531844139,0,0,0.3739837398373984,0.48799072025604584,0
7339019,2018-07-17 16:14:44.307,494012.0,447467,2,3161304,MG,3134202,MG,50,1531844084,1,1,0.39837398373983746,0.48799058184075017,1
7339058,2018-07-17 16:21:05.724,557370.0,447467,2,3134400,MG,3134202,MG,19,1531844465,1,1,0.14634146341463417,0.48799154068125317,1
7343553,2018-07-18 14:51:54.423,400309.0,447467,2,3134400,MG,3134202,MG,124,1531925514,0,0,1.0000000000000002,0.48819551197765554,-1
2594271,2014-10-13 11:45:17.098,331924.0,447467,2,3112604,MG,3134202,MG,20,1413200717,0,0,0.1544715447154472,0.18940773224937146,0
6567923,2017-12-27 10:41:05.221,74724.0,447467,2,3134202,MG,3134202,MG,40,1514371265,1,1,0.3170731707317074,0.4440177562261973,1
5141822,2016-11-17 13:11:57.771,28474.0,447467,18,3119302,MG,3134202,MG,50,1479388317,0,0,0.39837398373983746,0.35597820909376443,0
7339026,2018-07-17 16:15:13.974,494012.0,447467,2,3161304,MG,3134202,MG,50,1531844113,1,1,0.39837398373983746,0.48799065482336035,1
7339044,2018-07-17 16:18:11.301,70218.0,447467,2,3111101,MG,3134202,MG,47,1531844291,1,1,0.3739837398373984,0.4879911027855903,1
5141817,2016-11-17 13:11:03.409,28415.0,447467,18,3119302,MG,3134202,MG,50,1479388263,1,1,0.39837398373983746,0.3559780731951103,1
2594268,2014-10-13 11:44:35.065,331924.0,447467,2,3112604,MG,3134202,MG,20,1413200675,1,1,0.1544715447154472,0.18940762655041832,1
6567938,2017-12-27 10:42:07.572,74724.0,447467,2,3134202,MG,3134202,MG,40,1514371327,1,1,0.3170731707317074,0.44401791225798526,1
16678634,2024-07-26 09:40:06.563,747301.0,447467,8,3112604,MG,3159803,MG,45,1721986806,0,0,0.3577235772357724,0.9665116926232966,0
5141834,2016-11-17 13:14:37.142,635041.0,447467,18,3119302,MG,3134202,MG,50,1479388477,0,0,0.39837398373983746,0.35597861175644274,0
3423793,2015-07-08 15:15:51.031,447467.0,447467,2,3134202,MG,3112604,MG,82,1436368551,1,1,0.6585365853658537,0.24771287032405231,1
5992181,2017-07-18 13:22:11.638,78199.0,447467,18,3112604,MG,3134202,MG,50,1500384131,1,1,0.39837398373983746,0.40881715097587223,1
5992206,2017-07-18 13:23:54.478,78199.0,447467,18,3112604,MG,3134202,MG,50,1500384234,1,1,0.39837398373983746,0.4088174101899713,1
5992173,2017-07-18 13:21:27.858,78199.0,447467,18,3112604,MG,3134202,MG,50,1500384087,1,1,0.39837398373983746,0.4088170402436355,1
5992869,2017-07-18 14:20:45.352,78199.0,447467,18,3112604,MG,3134202,MG,36,1500387645,1,1,0.28455284552845533,0.40882599445494705,1
5992193,2017-07-18 13:22:59.275,78199.0,447467,18,3112604,MG,3134202,MG,50,1500384179,1,1,0.39837398373983746,0.40881727177467564,1
5992834,2017-07-18 14:18:31.589,78199.0,447467,18,3112604,MG,3134202,MG,36,1500387511,1,1,0.28455284552845533,0.4088256572249538,1
15152099,2023-09-22 15:20:17.462,694233.0,447467,8,3131406,MG,3159803,MG,36,1695396017,1,1,0.28455284552845533,0.8995922031207519,1
15152068,2023-09-22 15:18:20.484,694233.0,447467,8,3131406,MG,3159803,MG,35,1695395900,1,1,0.27642276422764234,0.8995919086736683,1
2731989,2014-12-03 17:08:18.019,80103.0,447467,8,3170206,MG,3134202,MG,8,1417626498,0,0,0.05691056910569106,0.20054583744700416,0
2731995,2014-12-03 17:10:34.589,80795.0,447467,8,3170206,MG,3134202,MG,5,1417626634,0,0,0.032520325203252036,0.200546179710281,0
2753053,2014-12-10 09:59:03.460,353732.0,447467,8,3170206,MG,3134202,MG,10,1418205543,0,0,0.07317073170731708,0.20200308626346475,0
2731977,2014-12-03 17:04:14.025,529915.0,447467,8,3170206,MG,3134202,MG,6,1417626254,0,0,0.04065040650406504,0.20054522338641956,0
2757030,2014-12-11 09:09:37.010,368363.0,447467,2,3156908,MG,3134202,MG,43,1418288977,0,0,0.34146341463414637,0.20221305975041748,0
2755422,2014-12-10 15:15:41.850,569150.0,447467,8,3170206,MG,3134202,MG,15,1418224541,0,0,0.11382113821138212,0.20205089742324533,0
15230693,2023-10-10 09:45:54.549,715668.0,447467,8,3112604,MG,3159803,MG,50,1696931154,0,0,0.39837398373983746,0.9034555929718944,0
