id_gta,dt_emissao_gta,id_produtor_origem,id_produtor_destino,id_tipo_finalidade_gta,municipio_origem,estado_origem,municipio_destino,estado_destino,qt_animais,data_seconds,repeticao_origem,flag_binaria,qt_animais_norm,data_seconds_norm,cluster
12877983,2022-04-25 13:15:47.354,518011.0,254179,8,3137809,MG,3110707,MG,1,1650892547,0,0,0.0,0.010801780040530673,-1
12878052,2022-04-25 13:19:36.385,729578.0,254179,8,3137809,MG,3110707,MG,2,1650892776,0,0,0.5,0.010806572702037442,-1
12860818,2022-04-20 13:21:48.719,729578.0,254179,8,3137809,MG,3110707,MG,2,1650460908,1,1,0.5,0.001768157238814183,-1
