id_gta,dt_emissao_gta,id_produtor_origem,id_produtor_destino,id_tipo_finalidade_gta,municipio_origem,estado_origem,municipio_destino,estado_destino,qt_animais,data_seconds,repeticao_origem,flag_binaria,qt_animais_norm,data_seconds_norm,cluster
3842360,2015-11-14 11:27:09.203,400900.0,528372,30,3142809,MG,3111101,MG,12,1447500429,0,0,0.07382550335570469,0.2580659221231967,0
13711611,2022-10-30 11:56:50.257,640100.0,528372,30,3134202,MG,3111101,MG,4,1667131010,0,0,0.020134228187919462,0.8186971825225471,0
11260117,2021-03-30 12:29:23.290,118825.0,528372,30,3170404,MG,3111101,MG,12,1617107363,0,0,0.07382550335570469,0.6910063111525795,0
11261935,2021-03-30 15:18:11.915,657689.0,528372,30,3134202,MG,3129103,MG,1,1617117491,0,0,0.0,0.6910321639886443,0
11261935,2021-03-30 15:18:11.915,657689.0,528372,30,3134202,MG,3129103,MG,13,1617117491,1,1,0.08053691275167785,0.6910321639886443,1
13711614,2022-10-30 11:59:50.768,776142.0,528372,30,3134202,MG,3111101,MG,1,1667131190,0,0,0.0,0.8186976419923817,0
6761710,2018-02-22 12:14:45.426,448981.0,528372,30,3129103,MG,3111101,MG,17,1519301685,0,0,0.10738255033557047,0.4413465402696124,0
6761710,2018-02-22 12:14:45.426,448981.0,528372,30,3129103,MG,3111101,MG,10,1519301685,1,1,0.06040268456375839,0.4413465402696124,1
6761719,2018-02-22 12:21:11.486,75035.0,528372,30,3129103,MG,3111101,MG,16,1519302071,0,0,0.10067114093959731,0.44134752557714796,0
6761719,2018-02-22 12:21:11.486,75035.0,528372,30,3129103,MG,3111101,MG,16,1519302071,1,1,0.10067114093959731,0.44134752557714796,1
7141025,2018-06-03 19:34:37.765,335909.0,528372,30,3142809,MG,3111101,MG,5,1528054477,0,0,0.026845637583892617,0.46368900637169563,0
7141026,2018-06-03 19:36:01.524,76179.0,528372,30,3142809,MG,3111101,MG,11,1528054561,0,0,0.06711409395973154,0.46368922079095176,0
7141121,2018-06-03 22:34:18.805,76407.0,528372,30,3142809,MG,3111101,MG,5,1528065258,0,0,0.026845637583892617,0.463716526062218,0
3842362,2015-11-14 11:34:43.670,121016.0,528372,30,3142809,MG,3111101,MG,14,1447500883,0,0,0.087248322147651,0.2580670810082255,0
3842362,2015-11-14 11:34:43.670,121016.0,528372,30,3142809,MG,3111101,MG,8,1447500883,1,1,0.04697986577181208,0.2580670810082255,1
1785490,2014-02-06 16:19:51.536,528372.0,528372,2,3159803,MG,3111101,MG,1,1391703591,0,0,0.0,0.11563834454355915,0
11260199,2021-03-30 12:41:45.468,717312.0,528372,30,3170404,MG,3111101,MG,14,1617108105,0,0,0.087248322147651,0.6910082051893451,0
12001277,2021-09-17 08:17:20.523,78054.0,528372,2,3129103,MG,3111101,MG,85,1631866640,0,0,0.5637583892617449,0.7286809921073831,0
8634575,2019-06-18 14:26:26.718,528372.0,528372,37,3134202,MG,3111101,MG,24,1560867986,1,1,0.15436241610738255,0.547449104009444,1
8634575,2019-06-18 14:26:26.718,528372.0,528372,37,3134202,MG,3111101,MG,1,1560867986,1,1,0.0,0.547449104009444,1
3853704,2015-11-18 13:29:05.396,78837.0,528372,30,3159803,MG,3111101,MG,4,1447853345,0,0,0.020134228187919462,0.2589667791031047,0
10316250,2020-08-08 02:13:59.406,120418.0,528372,30,3154457,MG,3111101,MG,17,1596852839,0,0,0.10738255033557047,0.6393044066764042,0
17044586,2024-10-02 15:03:22.618,674574.0,528372,30,3133402,MG,3129103,MG,23,1727881402,0,0,0.1476510067114094,0.9737692525486898,0
1783020,2014-02-06 09:47:59.254,67156.0,528372,2,3159803,MG,3111101,MG,9,1391680079,0,0,0.053691275167785234,0.11557832757263231,0
7903240,2018-12-17 16:28:26.717,453501.0,528372,18,3135050,MG,3111101,MG,55,1545064106,0,0,0.3624161073825503,0.507107958786138,0
3858201,2015-11-19 13:36:08.223,270775.0,528372,30,3170206,MG,3111101,MG,4,1447940168,0,0,0.020134228187919462,0.25918840437814605,0
3858201,2015-11-19 13:36:08.223,270775.0,528372,30,3170206,MG,3111101,MG,14,1447940168,1,1,0.087248322147651,0.25918840437814605,1
3858232,2015-11-19 13:38:53.470,80429.0,528372,30,3170206,MG,3111101,MG,13,1447940333,0,0,0.08053691275167785,0.2591888255588284,0
3858313,2015-11-19 13:46:46.819,526122.0,528372,30,3170206,MG,3111101,MG,5,1447940806,0,0,0.026845637583892617,0.25919003294345133,0
3858313,2015-11-19 13:46:46.819,526122.0,528372,30,3170206,MG,3111101,MG,1,1447940806,1,1,0.0,0.25919003294345133,1
3858323,2015-11-19 13:48:18.512,30193.0,528372,30,3170206,MG,3111101,MG,4,1447940898,0,0,0.020134228187919462,0.25919026778358933,0
7141027,2018-06-03 19:37:36.802,327389.0,528372,30,3142809,MG,3111101,MG,20,1528054656,0,0,0.12751677852348994,0.4636894632889206,0
7141069,2018-06-03 20:35:13.642,602778.0,528372,30,3142809,MG,3111101,MG,3,1528058113,0,0,0.013422818791946307,0.4636982876623681,0
7141069,2018-06-03 20:35:13.642,602778.0,528372,30,3142809,MG,3111101,MG,14,1528058113,1,1,0.087248322147651,0.4636982876623681,1
3842393,2015-11-14 12:03:36.110,512498.0,528372,30,3142809,MG,3111101,MG,1,1447502616,0,0,0.0,0.25807150468169526,0
12371000,2021-12-20 21:46:14.889,489000.0,528372,18,3129103,MG,3111101,MG,100,1640036774,0,0,0.6644295302013423,0.7495361594579237,0
17045868,2024-10-02 18:45:22.879,207653.0,528372,30,3170107,MG,3129103,MG,72,1727894722,0,0,0.47651006711409394,0.9738032533165,0
17045880,2024-10-02 18:57:15.962,791930.0,528372,30,3170107,MG,3129103,MG,40,1727895435,0,0,0.26174496644295303,0.9738050733275698,0
8633716,2019-06-18 13:21:29.410,673634.0,528372,30,3134202,MG,3111101,MG,3,1560864089,0,0,0.013422818791946307,0.5474391564875103,0
14807344,2023-07-10 17:43:43.412,575037.0,528372,18,3145109,MG,3111101,MG,21,1689011023,0,0,0.1342281879194631,0.8745483267934993,0
14807344,2023-07-10 17:43:43.412,575037.0,528372,18,3145109,MG,3111101,MG,20,1689011023,1,1,0.12751677852348994,0.8745483267934993,1
1782969,2014-02-06 09:44:07.766,67921.0,528372,2,3159803,MG,3111101,MG,16,1391679847,0,0,0.10067114093959731,0.11557773536706728,0
3853789,2015-11-18 13:37:28.373,528372.0,528372,37,3159803,MG,3111101,MG,21,1447853848,1,1,0.1342281879194631,0.25896806306603315,1
7520532,2018-09-02 19:34:15.799,14590.0,528372,30,3170107,MG,3111101,MG,23,1535916855,0,0,0.1476510067114094,0.4837585926187771,0
7521228,2018-09-03 08:42:14.645,68454.0,528372,30,3142809,MG,3111101,MG,6,1535964134,0,0,0.03355704697986577,0.4838792774762304,0
7521247,2018-09-03 08:43:42.148,431835.0,528372,30,3142809,MG,3111101,MG,1,1535964222,0,0,0.0,0.4838795021059279,0
10748891,2020-11-25 10:23:55.920,80230.0,528372,18,3170206,MG,3111101,MG,13,1606299835,0,0,0.08053691275167785,0.6634189049869454,0
10748891,2020-11-25 10:23:55.920,80230.0,528372,18,3170206,MG,3111101,MG,17,1606299835,1,1,0.10738255033557047,0.6634189049869454,1
10748912,2020-11-25 10:25:25.943,80230.0,528372,18,3170206,MG,3111101,MG,26,1606299925,1,1,0.16778523489932887,0.6634191347218628,1
5646485,2017-04-18 22:27:33.173,331850.0,528372,30,3152808,MG,3111101,MG,40,1492554453,0,0,0.26174496644295303,0.3730712831534193,0
7903419,2018-12-17 17:01:38.013,427023.0,528372,2,3136306,MG,3111101,MG,10,1545066098,0,0,0.06040268456375839,0.5071130435856483,0
17044615,2024-10-02 15:05:04.198,344145.0,528372,30,3133402,MG,3129103,MG,7,1727881504,0,0,0.04026845637583893,0.9737695129149304,0
7141068,2018-06-03 20:34:12.345,602778.0,528372,30,3142809,MG,3111101,MG,16,1528058052,1,1,0.10067114093959731,0.46369813195314613,1
7141068,2018-06-03 20:34:12.345,602778.0,528372,30,3142809,MG,3111101,MG,5,1528058052,1,1,0.026845637583892617,0.46369813195314613,1
7141120,2018-06-03 22:32:32.757,535784.0,528372,30,3142809,MG,3111101,MG,5,1528065152,0,0,0.026845637583892617,0.46371625548553697,0
7141120,2018-06-03 22:32:32.757,535784.0,528372,30,3142809,MG,3111101,MG,4,1528065152,1,1,0.020134228187919462,0.46371625548553697,1
