id_gta,dt_emissao_gta,id_produtor_origem,id_produtor_destino,id_tipo_finalidade_gta,municipio_origem,estado_origem,municipio_destino,estado_destino,qt_animais,data_seconds,repeticao_origem,flag_binaria,qt_animais_norm,data_seconds_norm,cluster
14801339,2023-07-10 08:44:41.724,348413.0,104522,8,3100609,MG,3100609,MG,28,1688978681,0,0,0.20930232558139533,0.8758532293539845,0
6026661,2017-07-27 11:53:36.680,196112.0,104522,18,3156809,MG,3100609,MG,5,1501156416,0,0,0.031007751937984496,0.4017465373041271,0
11259033,2021-03-30 10:18:33.825,716567.0,104522,2,3100500,MG,3100609,MG,20,1617099513,0,0,0.14728682170542634,0.6944136403479848,0
4882431,2016-08-22 15:46:19.264,621736.0,104522,18,3106309,MG,3100609,MG,23,1471880779,0,0,0.1705426356589147,0.32784808114546893,0
8634096,2019-06-18 13:51:29.571,395302.0,104522,3,3108800,MG,3100609,MG,9,1560865889,0,0,0.06201550387596899,0.5524670108756191,0
8634096,2019-06-18 13:51:29.571,395302.0,104522,3,3108800,MG,3100609,MG,10,1560865889,1,1,0.06976744186046512,0.5524670108756191,1
8634006,2019-06-18 13:44:36.693,395302.0,104522,3,3108800,MG,3100609,MG,15,1560865476,1,1,0.10852713178294573,0.5524659683684181,1
8634006,2019-06-18 13:44:36.693,395302.0,104522,3,3108800,MG,3100609,MG,2,1560865476,1,1,0.007751937984496124,0.5524659683684181,1
3862066,2015-11-20 13:08:55.301,104522.0,104522,18,3158953,MG,3100609,MG,10,1448024935,0,0,0.06976744186046512,0.26763043184336155,0
3862066,2015-11-20 13:08:55.301,104522.0,104522,18,3158953,MG,3100609,MG,2,1448024935,1,1,0.007751937984496124,0.26763043184336155,1
6026646,2017-07-27 11:49:07.190,196401.0,104522,18,3156809,MG,3100609,MG,7,1501156147,0,0,0.046511627906976744,0.40174585828611953,0
6026646,2017-07-27 11:49:07.190,196401.0,104522,18,3156809,MG,3100609,MG,15,1501156147,1,1,0.10852713178294573,0.40174585828611953,1
6026646,2017-07-27 11:49:07.190,196401.0,104522,18,3156809,MG,3100609,MG,2,1501156147,1,1,0.007751937984496124,0.40174585828611953,1
6026654,2017-07-27 11:51:46.487,196112.0,104522,18,3156809,MG,3100609,MG,5,1501156306,1,1,0.031007751937984496,0.4017462596387711,1
12879097,2022-04-25 14:25:32.354,104522.0,104522,18,3100609,MG,3158953,MG,4,1650896732,1,1,0.023255813953488372,0.7797256117512403,1
4882437,2016-08-22 15:47:11.043,621736.0,104522,18,3106309,MG,3100609,MG,23,1471880831,1,1,0.1705426356589147,0.32784821240545536,1
10889003,2020-12-29 13:36:49.612,104522.0,104522,18,3100609,MG,3158953,MG,14,1609249009,1,1,0.10077519379844961,0.6745971586206232,1
6026645,2017-07-27 11:47:51.933,196401.0,104522,18,3156809,MG,3100609,MG,14,1501156071,1,1,0.10077519379844961,0.40174566644460086,1
6026645,2017-07-27 11:47:51.933,196401.0,104522,18,3156809,MG,3100609,MG,7,1501156071,1,1,0.046511627906976744,0.40174566644460086,1
6026645,2017-07-27 11:47:51.933,196401.0,104522,18,3156809,MG,3100609,MG,3,1501156071,1,1,0.015503875968992248,0.40174566644460086,1
11258970,2021-03-30 10:13:07.663,716567.0,104522,2,3100500,MG,3100609,MG,20,1617099187,1,1,0.14728682170542634,0.6944128174488378,1
